date,last,open,max,min,volume,delta
02.04.2024,202.4,206.9,208.0,201.5,482920.0,-0.0222
28.03.2024,207.0,206.45,208.1,205.35,453330.0,0.011200000000000002
27.03.2024,204.7,204.5,208.6,204.05,591130.0,0.002
26.03.2024,204.3,203.9,205.4,203.5,507720.0,0.0017000000000000001
25.03.2024,203.95,200.0,204.2,198.38,343150.0,0.018500000000000003
22.03.2024,200.25,194.4,201.8,194.3,890360.0,0.0053
21.03.2024,199.2,201.2,202.05,196.44,807880.0,-0.0037
20.03.2024,199.94,199.5,201.55,198.74,451900.0,-0.0045000000000000005
19.03.2024,200.85,201.15,201.85,200.15,573740.0,0.0037
18.03.2024,200.1,205.35,205.55,199.12,634150.0,-0.0239
15.03.2024,205.0,205.9,207.9,204.8,1640000.0,-0.0073
14.03.2024,206.5,201.0,208.8,200.35,1040000.0,0.0317
13.03.2024,200.15,192.8,201.55,184.94,1440000.0,0.0384
12.03.2024,192.74,190.66,192.96,189.9,616780.0,0.020499999999999997
11.03.2024,188.86,188.24,188.86,185.68,405140.0,-0.0015
08.03.2024,189.14,189.18,191.52,187.96,411430.0,0.0039000000000000003
07.03.2024,188.4,184.4,188.5,180.82,522809.99999999994,0.0131
06.03.2024,185.96,184.7,193.72,182.28,931800.0,0.0046
05.03.2024,185.1,183.2,185.38,182.02,375370.0,0.0033
04.03.2024,184.5,186.6,188.02,184.46,326090.0,-0.0134
01.03.2024,187.0,187.68,189.06,186.3,373820.0,-0.0006
29.02.2024,187.12,190.5,191.36,187.12,535110.0,-0.0143
28.02.2024,189.84,188.54,190.06,188.42,320090.0,0.0089
27.02.2024,188.16,188.38,190.08,185.88,322590.0,-0.0002
26.02.2024,188.2,187.88,190.24,187.44,323450.0,-0.0031
23.02.2024,188.78,187.46,189.92,187.24,375480.0,0.0051
22.02.2024,187.82,183.0,188.18,182.82,585590.0,0.0352
21.02.2024,181.44,181.18,183.84,181.18,275060.0,0.0018
20.02.2024,181.12,179.2,182.52,179.2,414910.0,0.0078000000000000005
19.02.2024,179.72,175.44,180.84,175.32,270800.0,0.0197
16.02.2024,176.24,174.68,178.7,174.68,435280.0,0.012199999999999999
15.02.2024,174.12,176.0,178.0,173.14,335770.0,-0.0042
