date,last,open,max,min,volume,delta
03.04.2024,24.35,23.45,24.34,23.21,128550000.00000001,0.0383
02.04.2024,23.45,24.66,24.67,23.15,361200000.0,-0.0429
01.04.2024,24.5,22.63,24.84,22.62,407720000.0,0.086
29.03.2024,22.56,21.92,22.56,21.73,128590000.0,0.0292
28.03.2024,21.92,22.0,22.5,21.72,210010000.0,-0.0036
27.03.2024,22.0,20.8,22.01,20.51,211450000.0,0.0592
26.03.2024,20.77,20.56,21.0,20.56,79010000.0,0.0102
25.03.2024,20.56,19.9,20.58,19.81,70180000.0,0.0368
22.03.2024,19.83,20.35,20.35,19.68,83740000.0,-0.0275
21.03.2024,20.39,19.58,20.4,19.51,121490000.0,0.043
20.03.2024,19.55,19.4,19.67,19.26,32990000.000000004,0.0067
19.03.2024,19.42,19.6,19.86,19.27,63590000.0,-0.0091
18.03.2024,19.6,19.66,19.74,19.35,38780000.0,-0.0017000000000000001
15.03.2024,19.63,19.33,19.69,19.33,50260000.0,0.0089
14.03.2024,19.46,20.17,20.17,19.33,215830000.0,-0.0138
13.03.2024,19.73,19.14,19.88,19.14,327080000.0,0.031400000000000004
12.03.2024,19.13,18.6,19.19,18.55,77470000.0,0.0282
11.03.2024,18.6,18.75,18.75,18.6,23810000.0,0.0
07.03.2024,18.61,18.64,18.64,18.45,11950000.0,0.0012
06.03.2024,18.58,18.51,18.64,18.51,10800000.0,0.0029
05.03.2024,18.53,18.6,18.74,18.37,23820000.0,-0.0005
04.03.2024,18.54,18.59,18.75,18.38,41020000.0,0.008199999999999999
01.03.2024,18.39,18.5,18.57,18.28,31670000.0,-0.0038
29.02.2024,18.46,18.03,18.5,17.9,26200000.0,0.023700000000000002
28.02.2024,18.03,18.03,18.11,17.94,16430000.0,0.0
27.02.2024,18.03,18.15,18.15,17.8,25140000.0,-0.006500000000000001
26.02.2024,18.15,18.0,18.16,17.8,36230000.0,0.029900000000000003
22.02.2024,17.62,17.6,18.0,17.51,43950000.0,0.0011
21.02.2024,17.6,17.5,17.85,17.38,37650000.0,0.0040999999999999995
20.02.2024,17.53,17.89,17.92,17.5,40640000.0,-0.0178
19.02.2024,17.85,18.15,18.43,17.78,51990000.0,-0.0203
16.02.2024,18.22,18.22,18.35,18.0,41670000.0,0.0015
15.02.2024,18.19,18.03,18.19,17.92,20460000.0,0.0087
