date,last,open,max,min,volume,delta
02.04.2024,48.2,48.65,48.86,47.18,83030000.0,-0.0088
01.04.2024,48.63,45.78,49.16,45.05,116000000.0,0.0693
29.03.2024,45.48,42.96,45.82,42.71,97860000.0,0.0594
28.03.2024,42.93,41.94,43.33,41.64,35300000.0,0.0268
27.03.2024,41.81,40.59,41.86,40.58,18810000.0,0.030299999999999997
26.03.2024,40.58,40.5,40.77,40.19,7370000.0,0.0037
25.03.2024,40.43,39.9,40.64,39.86,12090000.0,0.0176
22.03.2024,39.73,41.15,41.19,39.58,16050000.0,-0.0305
21.03.2024,40.98,41.15,41.19,40.54,27930.0,0.0069
20.03.2024,40.7,39.6,40.95,39.52,18520000.0,0.024399999999999998
19.03.2024,39.73,40.76,40.94,39.53,17350000.0,-0.0229
18.03.2024,40.66,40.64,40.91,40.32,11270000.0,0.0034999999999999996
15.03.2024,40.52,40.12,40.73,39.9,14790000.0,0.0075
14.03.2024,40.22,41.04,41.58,40.19,24860000.0,-0.0209
13.03.2024,41.08,40.16,41.59,40.13,56470000.0,0.025
12.03.2024,40.08,40.12,40.16,39.74,7440000.0,-0.0012
11.03.2024,40.13,39.67,40.2,39.41,14020000.0,0.0149
07.03.2024,39.54,39.65,39.72,39.35,5910000.0,-0.003
06.03.2024,39.66,39.87,40.16,39.47,9140000.0,-0.003
05.03.2024,39.78,39.95,40.55,39.31,23300000.0,0.0
04.03.2024,39.78,39.09,40.23,39.07,21950000.0,0.0184
01.03.2024,39.06,38.56,39.18,38.54,9520000.0,0.013500000000000002
29.02.2024,38.54,37.61,39.14,37.55,19530000.0,0.024700000000000003
28.02.2024,37.61,37.72,38.46,37.38,12220000.0,-0.0029
27.02.2024,37.72,38.31,38.31,37.61,4680000.0,-0.0092
26.02.2024,38.07,37.6,38.13,37.36,8130000.000000001,0.0204
22.02.2024,37.31,36.71,37.51,36.71,5790000.0,0.008100000000000001
21.02.2024,37.01,37.74,37.75,36.68,14950000.0,-0.019299999999999998
20.02.2024,37.74,38.89,39.26,37.38,18030000.0,-0.0296
19.02.2024,38.89,38.61,39.14,38.47,7750000.0,0.0013
16.02.2024,38.84,39.28,39.3,38.2,11890000.0,-0.0102
15.02.2024,39.24,39.5,39.53,38.98,7460000.0,-0.0063
14.02.2024,39.49,39.75,39.75,39.2,7790000.0,-0.0028000000000000004
13.02.2024,39.6,39.96,39.99,39.39,10220000.0,-0.0073
12.02.2024,39.89,39.05,40.25,39.05,21930000.0,0.0215
09.02.2024,39.05,39.2,39.58,38.75,12840000.0,-0.0043
08.02.2024,39.22,39.67,39.85,39.07,9680000.0,-0.0113
07.02.2024,39.67,40.5,40.65,39.46,17840000.0,-0.0151
06.02.2024,40.28,39.91,40.4,39.53,9450000.0,0.009300000000000001
05.02.2024,39.91,39.81,40.2,39.37,13120000.0,0.0025
02.02.2024,39.81,38.92,40.1,38.84,15590000.0,0.0229
01.02.2024,38.92,38.79,39.1,38.69,5070000.0,0.0023
31.01.2024,38.83,39.42,39.47,38.52,13430000.0,-0.013999999999999999
30.01.2024,39.38,38.32,39.5,38.29,22810000.0,0.0282
29.01.2024,38.3,37.17,38.5,37.17,11350000.0,0.0304
26.01.2024,37.17,37.36,37.68,37.06,4900000.0,-0.0051
25.01.2024,37.36,37.67,37.75,37.2,7080000.0,-0.008
24.01.2024,37.66,38.0,38.19,37.61,6660000.0,-0.0074
23.01.2024,37.94,38.0,38.12,37.87,5280000.0,0.0003
22.01.2024,37.93,38.03,38.19,37.61,5530000.0,-0.0024
19.01.2024,38.02,37.9,38.29,37.51,8140000.000000001,0.0060999999999999995
18.01.2024,37.79,38.55,38.55,37.38,10250000.0,-0.0138
17.01.2024,38.32,37.98,38.44,37.83,6760000.0,0.0092
16.01.2024,37.97,38.19,38.21,37.62,8340000.0,-0.006
15.01.2024,38.2,38.05,38.63,38.05,9200000.0,0.005
12.01.2024,38.01,37.94,38.78,37.78,13380000.0,0.005600000000000001
11.01.2024,37.8,37.5,37.83,36.97,11800000.0,0.009300000000000001
10.01.2024,37.45,37.7,37.94,37.4,8130000.000000001,-0.0064
09.01.2024,37.69,37.6,37.94,37.18,13120000.0,0.0051
08.01.2024,37.5,36.96,37.75,36.9,16980000.0,0.0176
05.01.2024,36.85,35.6,36.97,35.54,19740000.0,0.036000000000000004
04.01.2024,35.57,35.85,35.85,35.46,3560000.0,-0.005
03.01.2024,35.75,35.22,35.78,35.12,5730000.0,0.02
29.12.2023,35.05,35.1,35.4,34.7,7780000.0,0.0052
28.12.2023,34.87,35.11,35.22,34.71,7920000.0,-0.0068000000000000005
27.12.2023,35.11,35.47,35.53,35.0,7600000.0,-0.0101
26.12.2023,35.47,35.43,35.9,35.11,13670000.0,-0.0025
25.12.2023,35.56,36.0,36.14,35.41,10530000.0,-0.011399999999999999
22.12.2023,35.97,36.1,36.57,35.92,10160000.0,0.0011
21.12.2023,35.93,36.82,36.89,35.76,14790000.0,-0.0273
20.12.2023,36.94,36.69,37.18,36.46,10280000.0,0.0076
19.12.2023,36.66,37.32,37.33,36.41,9390000.0,-0.0172
18.12.2023,37.3,36.44,37.36,36.21,12560000.0,0.0281
15.12.2023,36.28,35.41,36.49,35.24,10360000.0,0.026600000000000002
14.12.2023,35.34,35.81,36.79,35.22,24550000.0,-0.0095
