date,last,open,max,min,volume,delta
02.04.2024,180.69,179.06,180.79,178.41,31310000.0,-0.0015
01.04.2024,180.97,180.79,183.0,179.95,28370000.0,0.0033
28.03.2024,180.38,180.17,181.7,179.26,38050000.0,0.0031
27.03.2024,179.83,179.88,180.0,177.31,33270000.000000004,0.0086
26.03.2024,178.3,180.15,180.45,177.95,29660000.0,-0.0078000000000000005
25.03.2024,179.71,178.01,180.99,177.24,29820000.0,0.004699999999999999
22.03.2024,178.87,177.75,179.26,176.75,28000000.0,0.004
21.03.2024,178.15,179.99,181.41,178.15,32820000.0,0.0
20.03.2024,178.15,176.14,178.53,174.64,29570000.0,0.0128
19.03.2024,175.9,174.21,176.09,173.52,26770000.0,0.008100000000000001
18.03.2024,174.48,175.8,176.69,174.28,30830000.0,0.0003
15.03.2024,174.42,176.64,177.93,173.9,70400000.0,-0.0242
14.03.2024,178.75,177.69,179.53,176.46,43530000.0,0.0124
13.03.2024,176.55,175.9,177.62,175.55,30600000.0,0.0066
12.03.2024,175.39,173.5,176.76,171.98,35310000.0,0.0199
11.03.2024,171.96,174.31,174.47,171.47,28490000.0,-0.019299999999999998
08.03.2024,175.35,176.44,178.79,174.33,37890000.0,-0.0083
07.03.2024,176.82,174.83,177.99,173.72,32479999.999999996,0.0191
06.03.2024,173.51,175.54,176.46,173.26,31850000.0,-0.0034999999999999996
05.03.2024,174.12,176.93,176.93,173.3,36970000.0,-0.0195
04.03.2024,177.58,177.53,180.14,177.49,36390000.0,-0.0036
01.03.2024,178.22,176.75,178.73,176.07,31980000.0,0.0083
29.02.2024,176.76,173.01,177.22,172.85,53380000.0,0.0208
28.02.2024,173.16,172.44,174.05,172.27,27010000.0,-0.0022
27.02.2024,173.54,174.07,174.62,172.86,30700000.0,-0.0068000000000000005
26.02.2024,174.73,175.7,176.37,174.26,40190000.0,-0.0015
23.02.2024,174.99,174.28,175.75,173.7,59720000.0,0.0023
22.02.2024,174.58,173.1,174.8,171.77,54310000.0,0.0355
21.02.2024,168.59,168.94,170.23,167.14,42170000.0,0.009000000000000001
20.02.2024,167.08,167.83,168.71,165.74,40120000.0,-0.0143
16.02.2024,169.51,168.74,170.42,167.17,48110000.0,-0.0017000000000000001
