date,last,open,max,min,volume,delta
02.04.2024,188.04,189.0,189.07,187.13,4460000.0,-0.0077
01.04.2024,189.5,192.21,192.74,189.03,4990000.0,-0.0181
28.03.2024,192.99,192.21,193.38,191.21,4470000.0,0.0054
27.03.2024,191.95,189.01,191.99,188.33,7350000.0,0.023700000000000002
26.03.2024,187.5,191.91,191.91,186.82,8960000.0,-0.0204
25.03.2024,191.41,196.05,196.05,189.52,12930000.0,0.0131
22.03.2024,188.93,188.74,192.82,188.22,7240000.0,0.0063
21.03.2024,187.74,189.48,190.35,187.55,6610000.0,-0.0002
20.03.2024,187.78,178.99,188.3,178.6,12610000.0,0.036699999999999997
19.03.2024,181.14,180.11,181.86,179.74,7380000.0,0.0072
18.03.2024,179.84,180.26,181.19,177.52,9160000.0,-0.0147
15.03.2024,182.53,180.99,184.18,180.91,10630000.0,0.0076
14.03.2024,181.15,182.0,184.94,180.52,9970000.0,-0.0066
13.03.2024,182.35,183.16,185.97,182.08,10130000.0,-0.0103
12.03.2024,184.24,188.24,188.58,183.16,18640000.0,-0.0429
11.03.2024,192.49,194.21,196.07,189.8,14160000.0,-0.0302
08.03.2024,198.49,201.84,203.8,198.46,9010000.0,-0.022400000000000003
07.03.2024,203.03,200.7,203.73,200.57,5660000.0,0.0101
06.03.2024,201.0,201.77,202.35,199.86,4710000.0,-0.0007000000000000001
05.03.2024,201.14,199.49,202.85,198.7,5010000.0,0.003
04.03.2024,200.54,199.5,201.54,196.92,7180000.0,0.0027
01.03.2024,200.0,204.0,205.06,199.01,11610000.0,-0.0183
29.02.2024,203.72,206.44,206.62,202.7,6360000.0,-0.0158
28.02.2024,207.0,201.14,208.1,200.18,9550000.0,0.0278
27.02.2024,201.4,200.93,202.0,200.04,3930000.0,0.0043
26.02.2024,200.54,201.01,202.75,200.0,4770000.0,-0.0014000000000000002
23.02.2024,200.83,200.99,202.07,197.15,7430000.0,-0.0033
22.02.2024,201.5,202.0,204.1,200.4,6490000.0,-0.0003
21.02.2024,201.57,202.9,203.63,201.21,4050000.0,-0.0089
20.02.2024,203.37,203.55,205.58,202.71,5250000.0,-0.0026
16.02.2024,203.89,204.88,205.05,202.81,5990000.0,-0.006999999999999999
15.02.2024,205.33,204.12,206.55,203.4,5030000.0,0.0096
14.02.2024,203.38,205.95,206.58,202.21,6480000.0,-0.0053
13.02.2024,204.46,206.9,207.81,202.33,8230000.0,-0.0233
12.02.2024,209.33,208.7,209.8,207.6,4070000.0000000005,0.0006
09.02.2024,209.2,209.77,211.44,207.9,4350000.0,-0.0001
08.02.2024,209.22,212.4,213.1,208.72,5760000.0,-0.0127
07.02.2024,211.92,208.76,213.77,207.99,7720000.0,0.016
06.02.2024,208.58,206.02,210.64,203.89,7560000.0,0.009399999999999999
05.02.2024,206.63,204.64,207.34,202.0,8660000.0,-0.0131
02.02.2024,209.38,209.06,209.54,206.35,6280000.0,-0.002
01.02.2024,209.81,213.84,214.63,206.81,10620000.0,-0.0058
31.01.2024,211.04,204.92,213.77,203.25,22410000.0,0.0529
30.01.2024,200.44,203.65,203.98,199.14,13220000.0,-0.0231
29.01.2024,205.19,206.06,207.04,203.85,7480000.0,-0.0014000000000000002
26.01.2024,205.47,203.08,206.75,203.0,9910000.0,0.0178
25.01.2024,201.88,208.2,208.73,198.32,21950000.0,-0.0572
24.01.2024,214.13,209.83,217.59,209.35,14250000.0,0.0124
23.01.2024,211.5,215.35,216.85,211.13,8900000.0,-0.016
22.01.2024,214.93,213.07,217.0,212.36,10730000.0,-0.0004
19.01.2024,215.02,210.89,215.16,209.23,14350000.0,0.0161
18.01.2024,211.61,205.64,213.04,203.32,19880000.0,0.0421
17.01.2024,203.06,202.63,206.3,201.65,20100000.0,0.0127
16.01.2024,200.52,210.07,210.98,199.5,35050000.0,-0.0789
12.01.2024,217.7,219.97,222.07,217.04,11290000.0,-0.0223
11.01.2024,222.66,228.07,228.28,222.62,11730000.0,-0.0227
10.01.2024,227.84,226.9,231.61,226.64,12770000.0,0.0092
09.01.2024,225.76,225.66,228.79,223.2,20580000.0,-0.0141
08.01.2024,229.0,228.0,233.85,225.79,40440000.0,-0.0803
05.01.2024,249.0,245.04,250.19,245.04,3850000.0,0.0166
04.01.2024,244.94,244.58,248.28,244.18,5120000.0,0.0042
03.01.2024,243.91,248.32,250.13,243.0,7020000.0,-0.031200000000000002
02.01.2024,251.76,257.28,258.59,250.87,5770000.0,-0.0341
29.12.2023,260.66,260.67,262.22,259.56,3690000.0,0.0012
28.12.2023,260.35,261.53,262.1,257.68,4990000.0,-0.0067
27.12.2023,262.1,262.63,264.66,260.9,3480000.0,-0.0026
26.12.2023,262.79,259.8,263.76,259.54,3930000.0,0.009000000000000001
22.12.2023,260.44,261.83,262.84,259.2,4430000.0,-0.006
21.12.2023,262.02,265.95,267.54,260.19,6450000.0,0.0068000000000000005
20.12.2023,260.25,262.25,266.13,260.15,5110000.0,-0.0124
19.12.2023,263.51,261.04,265.34,260.8,6060000.0,0.011899999999999999
18.12.2023,260.41,260.63,263.13,260.25,6140000.0,-0.0146
15.12.2023,264.27,255.7,265.52,255.7,15000000.0,0.0313
14.12.2023,256.24,250.91,257.12,249.26,7860000.0,0.0212
13.12.2023,250.91,249.1,251.87,247.53,5450000.0,0.0092
12.12.2023,248.63,247.95,250.57,247.4,5650000.0,0.0022
11.12.2023,248.08,243.5,248.08,243.31,7500000.0,0.0138
08.12.2023,244.7,237.32,244.7,237.32,7170000.0,0.0311
07.12.2023,237.33,236.9,238.3,230.0,6280000.0,0.0019
