date,last,open,max,min,volume,delta
02.04.2024,106.65,107.2,107.8,105.8,1080000.0,-0.0029
28.03.2024,106.96,106.34,107.18,106.34,785750.0,0.0075
27.03.2024,106.16,105.5,106.52,104.66,816350.0,-0.0038
26.03.2024,106.56,106.6,106.76,105.54,758870.0,0.003
25.03.2024,106.24,104.4,106.24,104.4,1060000.0,0.0204
22.03.2024,104.12,103.92,104.62,102.84,1300000.0,-0.006500000000000001
21.03.2024,104.8,107.0,107.1,104.38,1510000.0,-0.0147
20.03.2024,106.36,107.08,107.34,105.68,704220.0,-0.0070999999999999995
19.03.2024,107.12,106.2,107.4,105.98,864980.0,0.0108
18.03.2024,105.98,106.1,107.22,104.86,760280.0,0.0028000000000000004
15.03.2024,105.68,105.4,107.3,104.88,2680000.0,0.0046
14.03.2024,105.2,108.46,110.42,104.9,1990000.0,-0.0304
13.03.2024,108.5,110.0,110.36,108.5,893550.0,-0.011699999999999999
12.03.2024,109.78,106.9,110.22,106.64,1360000.0,0.0271
11.03.2024,106.88,106.62,107.3,106.12,778390.0,-0.0024
08.03.2024,107.14,107.14,107.84,106.48,773830.0,0.0017000000000000001
07.03.2024,106.96,107.04,107.48,106.06,974770.0,-0.0069
06.03.2024,107.7,109.3,109.5,107.38,1050000.0,-0.0152
05.03.2024,109.36,109.72,109.72,107.84,661440.0,-0.0053
04.03.2024,109.94,109.44,109.98,109.0,625520.0,0.0013
01.03.2024,109.8,109.98,110.96,107.68,1120000.0,0.0053
29.02.2024,109.22,109.5,110.32,109.0,1380000.0,0.0005
28.02.2024,109.16,108.0,109.16,107.62,757830.0,0.0137
27.02.2024,107.68,107.64,108.82,107.42,699540.0,0.0019
26.02.2024,107.48,107.0,107.74,106.22,824690.0,0.0070999999999999995
23.02.2024,106.72,105.3,107.36,105.18,840750.0,0.015600000000000001
22.02.2024,105.08,105.0,107.08,104.98,1060000.0,0.0075
21.02.2024,104.3,102.34,104.38,101.88,964220.0,0.024399999999999998
20.02.2024,101.82,102.66,103.16,101.32,700050.0,-0.0097
19.02.2024,102.82,104.12,104.38,102.72,518610.0,-0.0123
16.02.2024,104.1,103.26,104.44,103.14,965450.0,0.0144
15.02.2024,102.62,102.12,102.98,101.82,773190.0,0.0144
14.02.2024,101.16,100.28,101.48,100.26,577490.0,0.0028000000000000004
13.02.2024,100.88,102.32,102.58,100.56,719170.0,-0.0123
12.02.2024,102.14,102.4,103.0,101.82,483490.0,0.0014000000000000002
09.02.2024,102.0,102.38,103.26,101.84,867290.0,0.0004
08.02.2024,101.96,99.63,102.36,99.45,1130000.0,0.028399999999999998
07.02.2024,99.14,98.1,99.97,98.04,1100000.0,0.016200000000000003
06.02.2024,97.56,97.42,97.85,96.5,745690.0,0.0103
05.02.2024,96.57,98.37,98.47,96.06,762920.0,-0.0144
02.02.2024,97.98,97.95,98.89,97.64,916520.0,0.0098
01.02.2024,97.03,96.18,98.02,95.82,875670.0,0.0026
31.01.2024,96.78,95.03,96.85,94.81,1130000.0,0.0187
30.01.2024,95.0,95.5,96.28,94.48,775390.0,0.0009
