date,last,open,max,min,volume,delta
02.04.2024,410.15,412.15,413.17,407.64,1970000.0,-0.008100000000000001
01.04.2024,413.51,415.65,417.95,412.07,1530000.0,-0.01
28.03.2024,417.69,417.38,419.2,415.0,2410000.0,0.0059
27.03.2024,415.25,409.54,415.46,408.71,2350000.0,0.0223
26.03.2024,406.18,406.01,409.27,404.52,1410000.0,0.0031
25.03.2024,404.94,407.51,410.45,403.87,1680000.0,-0.0044
22.03.2024,406.71,413.25,416.46,405.8,1660000.0,-0.017
21.03.2024,413.74,399.94,414.02,399.22,4080000.0,0.0436
20.03.2024,396.47,386.36,396.5,386.0,2110000.0,0.020099999999999996
19.03.2024,388.66,384.07,390.78,383.7,1830000.0,0.011200000000000002
18.03.2024,384.37,388.65,389.03,383.41,1550000.0,-0.0073
15.03.2024,387.21,388.87,391.13,386.4,3600000.0,-0.0036
14.03.2024,388.61,394.43,396.38,385.45,2820000.0,-0.009399999999999999
13.03.2024,392.31,388.91,395.25,388.18,2330000.0,0.0106
12.03.2024,388.18,387.62,389.13,383.78,1660000.0,0.0052
11.03.2024,386.16,385.67,386.41,381.42,1650000.0,-0.0021
08.03.2024,386.99,388.73,395.62,386.71,1660000.0,-0.0037
07.03.2024,388.43,391.9,394.51,387.06,1900000.0,-0.0029
06.03.2024,389.57,395.0,395.29,384.52,2120000.0,-0.0034000000000000002
05.03.2024,390.91,390.72,397.49,390.31,2630000.0,-0.0034000000000000002
04.03.2024,392.25,388.81,396.57,386.2,1940000.0,0.010700000000000001
01.03.2024,388.1,389.63,391.04,385.25,1570000.0,-0.0024
29.02.2024,389.05,395.22,395.98,385.67,3130000.0,-0.0105
28.02.2024,393.18,387.19,393.26,387.0,2540000.0,0.0060999999999999995
27.02.2024,390.81,392.26,395.9,389.33,1720000.0,0.0015
26.02.2024,390.22,391.05,396.06,388.82,1790000.0,-0.0021
23.02.2024,391.05,390.0,396.79,389.21,2250000.0,0.0015
22.02.2024,390.47,389.23,395.6,389.0,2310000.0,0.005699999999999999
21.02.2024,388.27,381.84,388.66,381.26,1740000.0,0.0098
20.02.2024,384.52,380.95,385.58,380.85,2360000.0,0.0002
16.02.2024,384.44,383.24,387.58,380.95,2380000.0,-0.0025
15.02.2024,385.42,379.42,387.21,379.14,2200000.0,0.0195
14.02.2024,378.04,380.88,381.48,375.77,1880000.0,-0.0019
13.02.2024,378.75,387.59,389.16,375.2,2990000.0,-0.0354
12.02.2024,392.64,385.0,396.35,384.32,2760000.0,0.0218
09.02.2024,384.26,384.77,386.13,382.58,2029999.9999999998,-0.002
08.02.2024,385.04,386.0,388.11,381.34,1880000.0,-0.0042
07.02.2024,386.66,385.31,387.07,382.5,1870000.0,0.0043
06.02.2024,384.99,383.02,386.82,383.0,1490000.0,0.0051
05.02.2024,383.02,384.6,385.33,381.0,2130000.0,-0.0125
02.02.2024,387.86,381.8,388.74,380.6,2180000.0,0.0104
01.02.2024,383.85,384.43,389.54,378.8,2089999.9999999998,-0.0004
31.01.2024,384.01,386.0,393.91,383.7,3420000.0,-0.0074
30.01.2024,386.87,384.0,387.92,381.59,3850000.0,0.0166
29.01.2024,380.56,375.89,380.84,374.24,1610000.0,0.0073
26.01.2024,377.79,378.65,380.9,376.75,3460000.0,-0.0128
25.01.2024,382.7,382.69,386.71,382.01,2360000.0,0.0087
24.01.2024,379.4,381.81,384.61,379.18,2029999.9999999998,-0.0036
23.01.2024,380.77,379.98,383.36,378.63,3190000.0,-0.0134
22.01.2024,385.96,386.36,392.73,384.56,2510000.0,0.0098
19.01.2024,382.2,376.73,383.3,372.07,2600000.0,0.013999999999999999
18.01.2024,376.91,380.33,381.64,374.56,1710000.0,-0.0007000000000000001
17.01.2024,377.18,375.2,380.2,374.13,2360000.0,-0.0086
16.01.2024,380.45,378.36,385.01,374.32,3900000.0,0.0070999999999999995
12.01.2024,377.75,383.34,385.85,376.58,2220000.0,-0.0053
11.01.2024,379.75,380.89,380.98,374.68,2150000.0,-0.0058
10.01.2024,381.96,381.35,383.05,378.53,1530000.0,-0.0046
09.01.2024,383.74,384.6,385.95,381.77,1570000.0,-0.0132
08.01.2024,388.86,385.97,389.08,382.02,1890000.0,0.0063
05.01.2024,386.44,381.92,389.47,381.08,2910000.0,0.0091
04.01.2024,382.95,383.55,387.09,381.95,1570000.0,0.003
03.01.2024,381.79,383.88,385.39,376.76,2240000.0,-0.0168
02.01.2024,388.3,383.0,389.14,382.19,2240000.0,0.0066
29.12.2023,385.77,385.57,386.64,383.57,881320.0,-0.0017000000000000001
28.12.2023,386.41,384.52,387.76,383.63,1020000.0,0.005
27.12.2023,384.48,381.2,385.75,380.31,1370000.0,0.0075
26.12.2023,381.61,380.65,382.61,380.05,826080.0,0.0025
22.12.2023,380.65,382.0,383.49,379.41,1540000.0,0.0002
21.12.2023,380.57,380.05,381.49,377.01,1250000.0,0.008100000000000001
20.12.2023,377.52,380.73,385.13,377.25,1680000.0,-0.0129
19.12.2023,382.45,376.01,383.77,374.55,1730000.0,0.0161
18.12.2023,376.4,381.26,382.76,375.91,2740000.0,-0.0108
15.12.2023,380.51,380.19,385.89,379.32,4520000.0,-0.0077
14.12.2023,383.47,366.5,386.2,365.0,5220000.0,0.0572
13.12.2023,362.73,352.94,362.85,351.6,2730000.0,0.0287
12.12.2023,352.61,351.41,354.0,349.58,1390000.0,0.0024
11.12.2023,351.76,351.44,353.03,349.05,1600000.0,0.0027
08.12.2023,350.83,344.31,352.29,343.78,2240000.0,0.018000000000000002
07.12.2023,344.62,343.71,344.69,342.0,1760000.0,0.0077
06.12.2023,341.97,343.51,347.0,341.6,1830000.0,0.0006
05.12.2023,341.75,346.6,346.83,340.54,2160000.0,-0.0219
04.12.2023,349.39,346.3,350.49,345.29,1820000.0,0.0028000000000000004
01.12.2023,348.43,341.46,348.89,340.42,3620000.0,0.0202
30.11.2023,341.54,341.68,344.76,340.09,1860000.0,0.0038
29.11.2023,340.26,337.0,343.53,336.51,2009999.9999999998,0.0077
28.11.2023,337.65,337.38,338.4,334.87,1380000.0,-0.0002
27.11.2023,337.71,339.19,340.02,335.74,1250000.0,-0.0042
24.11.2023,339.15,338.8,340.27,337.64,460100.0,0.0015
22.11.2023,338.64,336.94,338.91,335.37,1240000.0,0.011000000000000001
