date,last,open,max,min,volume,delta
02.04.2024,75.7,74.44,76.34,74.44,461490.0,0.0161
28.03.2024,74.5,74.7,75.08,74.24,344540.0,-0.0024
27.03.2024,74.68,74.4,74.94,74.16,321870.0,0.005699999999999999
26.03.2024,74.26,73.92,74.34,73.24,448960.0,0.0076
25.03.2024,73.7,72.1,73.7,72.1,518240.0,0.0225
22.03.2024,72.08,71.22,72.22,71.06,405820.0,0.0115
21.03.2024,71.26,71.62,71.72,70.46,465400.0,-0.0028000000000000004
20.03.2024,71.46,72.9,72.96,71.4,476840.0,-0.0216
19.03.2024,73.04,73.56,73.8,72.98,387720.0,-0.0095
18.03.2024,73.74,74.54,74.96,73.18,381190.0,-0.011000000000000001
15.03.2024,74.56,74.56,74.9,74.22,1020000.0,0.0003
14.03.2024,74.54,75.88,76.1,74.5,554150.0,-0.014499999999999999
13.03.2024,75.64,75.42,75.76,74.82,556340.0,0.0059
12.03.2024,75.2,74.02,75.26,73.84,521640.0,0.0212
11.03.2024,73.64,72.26,73.64,72.26,458010.0,0.0154
08.03.2024,72.52,71.98,72.64,71.68,362890.0,0.0092
07.03.2024,71.86,70.22,71.92,69.78,519200.00000000006,0.0216
06.03.2024,70.34,69.72,70.66,69.52,559360.0,0.0103
05.03.2024,69.62,69.18,70.76,69.08,689710.0,0.0087
04.03.2024,69.02,71.28,72.02,66.86,1380000.0,-0.0196
01.03.2024,70.4,69.6,70.44,69.4,753460.0,0.0121
29.02.2024,69.56,68.9,69.64,68.52,1080000.0,0.009300000000000001
28.02.2024,68.92,69.62,69.78,68.64,341890.0,-0.0129
27.02.2024,69.82,69.46,69.84,69.12,312180.0,-0.0031
26.02.2024,70.04,70.08,70.48,70.04,231640.0,-0.0034000000000000002
23.02.2024,70.28,71.14,71.4,70.28,330900.0,-0.010700000000000001
22.02.2024,71.04,71.4,71.5,70.9,350900.0,-0.0031
21.02.2024,71.26,71.5,71.86,71.2,252590.0,-0.0028000000000000004
20.02.2024,71.46,70.42,71.72,70.42,206400.0,0.0125
19.02.2024,70.58,70.48,70.76,70.1,174700.0,0.0034000000000000002
16.02.2024,70.34,70.48,71.04,70.34,359060.0,0.0023
15.02.2024,70.18,70.0,70.44,69.62,213100.0,-0.0003
14.02.2024,70.2,70.64,70.9,70.1,225690.0,-0.0062
13.02.2024,70.64,70.86,71.12,70.36,191270.0,-0.005600000000000001
12.02.2024,71.04,70.88,71.3,70.74,142510.0,0.0037
09.02.2024,70.78,71.2,71.42,70.46,336660.0,-0.006500000000000001
08.02.2024,71.24,71.34,72.14,71.22,262660.0,-0.0006
