date,last,open,max,min,volume,delta
02.04.2024,43.94,44.02,44.06,43.5,30470000.0,-0.013000000000000001
01.04.2024,44.52,44.29,45.41,44.18,31150000.0,0.0079
28.03.2024,44.17,43.76,44.6,43.71,54200000.0,0.0091
27.03.2024,43.77,42.54,43.83,42.5,51020000.0,0.0424
26.03.2024,41.99,41.95,42.26,41.65,39110000.0,0.0038
25.03.2024,41.83,40.89,42.22,40.57,47280000.0,-0.0174
22.03.2024,42.57,42.25,42.8,42.09,28500000.0,0.0034999999999999996
21.03.2024,42.42,42.99,43.6,42.32,50810000.0,0.0052
20.03.2024,42.2,42.99,43.01,41.41,74180000.0,0.0036
19.03.2024,42.05,42.25,42.29,41.44,34370000.0,-0.0155
18.03.2024,42.71,43.09,43.38,42.6,25840000.0,0.0016
15.03.2024,42.64,42.45,43.15,42.35,65530000.0,-0.0026
14.03.2024,42.75,43.23,43.35,42.51,37330000.0,-0.0111
13.03.2024,43.23,44.51,44.98,43.2,52970000.0,-0.0444
12.03.2024,45.24,45.06,45.26,44.46,31530000.0,0.0085
11.03.2024,44.86,43.87,44.93,43.66,35050000.0,0.0195
08.03.2024,44.0,46.44,46.63,44.0,54920000.0,-0.0466
07.03.2024,46.15,45.55,46.42,45.18,48860000.0,0.0368
06.03.2024,44.51,43.93,45.51,43.56,51010000.0,0.0313
05.03.2024,43.16,44.56,44.87,42.69,56290000.0,-0.0537
04.03.2024,45.61,44.27,46.61,43.85,59580000.0,0.0408
01.03.2024,43.82,43.41,44.27,43.13,41430000.0,0.0179
29.02.2024,43.05,42.37,43.15,42.36,48510000.0,0.0252
28.02.2024,41.99,42.44,42.45,41.91,26510000.0,-0.0173
27.02.2024,42.73,43.25,43.26,42.51,24630000.0,-0.006
26.02.2024,42.99,43.5,43.68,42.82,26610000.0,0.0
23.02.2024,42.99,43.13,43.51,42.66,33810000.0,0.0002
22.02.2024,42.98,44.68,44.68,42.53,62230000.0,-0.0113
21.02.2024,43.47,44.48,44.69,43.08,54680000.0,-0.0236
20.02.2024,44.52,44.26,45.17,43.42,61310000.0,0.0232
16.02.2024,43.51,44.03,44.22,43.12,29980000.0,-0.0123
15.02.2024,44.05,44.76,45.27,44.02,40700000.0,-0.0032
14.02.2024,44.19,43.82,44.29,43.39,33330000.0,0.0239
13.02.2024,43.16,43.0,43.63,42.76,35770000.0,-0.019799999999999998
12.02.2024,44.03,43.39,45.04,43.32,49000000.0,0.0166
09.02.2024,43.31,42.55,43.52,42.4,51190000.0,0.0191
08.02.2024,42.5,42.72,42.97,42.33,31960000.0,-0.006500000000000001
07.02.2024,42.78,42.89,43.1,42.55,34140000.0,0.0009
06.02.2024,42.74,42.7,42.78,42.14,34070000.0,-0.0007000000000000001
05.02.2024,42.77,42.62,43.15,42.42,28800000.0,0.004
02.02.2024,42.6,43.0,43.14,41.6,53680000.0,-0.0175
01.02.2024,43.36,43.15,43.57,42.49,38030000.0,0.006500000000000001
31.01.2024,43.08,42.57,43.78,42.36,51480000.0,0.0037
30.01.2024,42.92,43.67,43.82,42.89,47520000.0,-0.021
29.01.2024,43.84,43.71,43.99,42.81,51120000.0,0.0044
26.01.2024,43.65,44.18,45.41,43.35,127670000.0,-0.1191
25.01.2024,49.55,50.0,50.3,48.97,74890000.0,0.009399999999999999
24.01.2024,49.09,49.17,49.77,48.26,48040000.0,0.0040999999999999995
23.01.2024,48.89,48.12,48.94,47.32,37030000.0,0.0139
22.01.2024,48.22,48.85,49.17,47.64,45640000.0,0.0015
19.01.2024,48.15,47.0,48.76,46.44,55980000.0,0.0302
18.01.2024,46.74,47.03,47.57,46.17,46620000.0,0.0148
17.01.2024,46.06,46.42,46.42,45.65,33470000.0,-0.0212
16.01.2024,47.06,46.98,47.22,46.38,43650000.0,-0.0013
12.01.2024,47.12,47.6,47.67,46.61,27590000.0,-0.0109
11.01.2024,47.64,47.44,47.84,46.73,31710000.0,0.0036
10.01.2024,47.47,48.24,48.3,46.94,31340000.0,-0.0121
09.01.2024,48.05,48.01,48.56,47.79,30100000.0,-0.0083
08.01.2024,48.45,47.07,48.76,46.97,42140000.0,0.0333
05.01.2024,46.89,47.03,47.83,46.63,34340000.0,0.0004
04.01.2024,46.87,45.72,47.16,45.24,47370000.0,-0.0038
03.01.2024,47.05,47.1,47.81,46.8,35680000.0,-0.015700000000000002
02.01.2024,47.8,49.2,49.38,47.45,45300000.0,-0.048799999999999996
29.12.2023,50.25,50.3,50.57,49.77,29290000.0,-0.0028000000000000004
28.12.2023,50.39,50.81,50.87,50.16,27220000.0,-0.0073
27.12.2023,50.76,50.63,51.28,50.19,51860000.0,0.0051
26.12.2023,50.5,48.92,50.51,48.71,59350000.0,0.0521
22.12.2023,48.0,47.25,48.16,47.2,30100000.0,0.0195
21.12.2023,47.08,46.48,47.12,46.02,28160000.0,0.0288
20.12.2023,45.76,46.64,46.95,45.7,36800000.0,-0.019299999999999998
19.12.2023,46.66,45.6,46.68,45.51,34770000.0,0.0212
18.12.2023,45.69,46.15,46.23,45.4,27900000.0,-0.0102
