date,last,open,max,min,volume,delta
02.04.2024,198.86,198.93,199.78,198.09,6680000.0,-0.0004
01.04.2024,198.94,200.22,200.75,198.57,6220000.0,-0.0068000000000000005
28.03.2024,200.3,199.78,200.72,198.6,8630000.0,0.0039000000000000003
27.03.2024,199.52,196.5,199.58,196.5,8720000.0,0.0194
26.03.2024,195.73,194.58,196.65,194.09,5950000.0,0.004699999999999999
25.03.2024,194.82,196.68,196.9,194.37,8620000.0,-0.009000000000000001
22.03.2024,196.58,199.94,200.48,196.56,5480000.0,-0.012199999999999999
21.03.2024,199.0,196.54,199.42,196.33,7180000.0,0.013600000000000001
20.03.2024,196.33,194.19,196.56,193.61,9120000.0,0.0131
19.03.2024,193.79,192.71,193.93,192.38,8440000.0,0.0059
18.03.2024,192.66,190.63,192.7,189.89,8920000.0,0.0124
15.03.2024,190.3,186.48,190.94,186.48,16970000.0,0.0124
14.03.2024,187.97,191.03,191.63,187.1,10240000.0,-0.0178
13.03.2024,191.38,190.36,191.73,189.84,7720000.0,0.008100000000000001
12.03.2024,189.84,188.95,190.16,187.91,5500000.0,0.008199999999999999
11.03.2024,188.29,187.28,188.44,186.22,5760000.0,0.0004
08.03.2024,188.22,188.44,190.46,187.92,6170000.0,0.0019
07.03.2024,187.87,189.91,190.5,186.63,7330000.0,-0.0088
06.03.2024,189.53,189.25,190.07,187.63,7550000.0,0.0052
05.03.2024,188.55,186.36,189.3,186.36,6380000.0,0.01
04.03.2024,186.68,184.71,187.59,184.27,7000000.0,0.0075
01.03.2024,185.29,185.7,186.44,185.1,6310000.0,-0.0040999999999999995
29.02.2024,186.06,185.66,186.43,183.85,9600000.0,0.0091
28.02.2024,184.38,183.43,185.2,182.96,6110000.0,0.0051
27.02.2024,183.45,183.31,183.54,182.24,5640000.0,0.0005
26.02.2024,183.36,183.75,184.46,182.48,7060000.0,-0.0034000000000000002
23.02.2024,183.99,183.81,185.2,183.19,7110000.0,0.005
22.02.2024,183.07,181.82,183.42,181.24,8960000.0,0.012
21.02.2024,180.9,179.95,180.99,178.52,6880000.0,0.006500000000000001
20.02.2024,179.73,179.19,180.46,178.4,9670000.0,0.0039000000000000003
16.02.2024,179.03,179.61,179.98,178.16,8150000.0,-0.004699999999999999
15.02.2024,179.87,176.15,180.21,176.15,8600000.0,0.0218
14.02.2024,176.03,175.07,176.1,174.42,7000000.0,0.0102
13.02.2024,174.26,175.32,176.23,172.62,8279999.999999999,-0.0087
12.02.2024,175.79,174.78,176.81,173.7,8410000.0,0.0045000000000000005
09.02.2024,175.01,175.0,175.1,173.67,6300000.0,0.0012
08.02.2024,174.8,175.0,175.31,173.57,5610000.0,-0.0036
07.02.2024,175.43,175.69,175.87,173.96,6540000.0,0.0019
06.02.2024,175.1,174.61,175.87,173.76,6770000.0,0.0034000000000000002
05.02.2024,174.5,173.86,175.09,172.92,7770000.0,-0.0013
02.02.2024,174.73,173.3,175.82,173.26,8610000.0,0.0058
01.02.2024,173.73,173.64,174.84,171.43,8900000.0,-0.0036
31.01.2024,174.36,176.2,178.3,174.34,11520000.0,-0.0108
30.01.2024,176.27,172.83,176.76,172.83,10640000.0,0.020499999999999997
29.01.2024,172.73,172.24,172.84,171.3,6920000.0,0.0026
26.01.2024,172.28,172.61,173.06,171.78,7440000.0,-0.0038
25.01.2024,172.94,172.31,172.99,170.9,8770000.0,0.0143
24.01.2024,170.5,169.36,171.01,168.86,9620000.0,0.0089
23.01.2024,168.99,169.67,169.75,168.44,8039999.999999999,-0.0066
22.01.2024,170.11,170.46,171.98,169.71,11920000.0,-0.0012
19.01.2024,170.31,167.55,170.57,167.08,13120000.0,0.0173
18.01.2024,167.42,167.12,167.53,165.24,9300000.0,0.002
17.01.2024,167.09,167.34,169.07,166.49,10490000.0,-0.0054
16.01.2024,167.99,164.87,168.09,164.3,16430000.0,-0.0063
12.01.2024,169.05,173.8,176.31,168.9,19440000.0,-0.0073
11.01.2024,170.3,170.33,170.36,168.64,11450000.0,-0.0042
10.01.2024,171.02,170.0,171.08,168.95,9360000.0,0.0021
09.01.2024,170.66,171.62,171.79,170.1,9440000.0,-0.0079
08.01.2024,172.02,172.02,172.36,169.49,10700000.0,-0.0015
05.01.2024,172.27,171.47,173.38,171.47,10070000.0,0.005
04.01.2024,171.41,170.64,173.35,170.54,11830000.0,0.0005
03.01.2024,171.33,171.86,172.04,170.37,9570000.0,-0.0044
02.01.2024,172.08,169.09,172.17,168.91,9900000.0,0.0116
29.12.2023,170.1,170.0,170.69,169.63,6440000.0,-0.0012
28.12.2023,170.3,169.35,170.66,168.99,5970000.0,0.0053
27.12.2023,169.4,167.84,169.47,167.58,6430000.0,0.006
26.12.2023,168.39,167.46,168.76,167.18,4620000.0,0.0059
22.12.2023,167.4,167.5,168.23,167.23,6580000.0,-0.0006
21.12.2023,167.5,166.84,168.09,165.68,7540000.0,0.005699999999999999
20.12.2023,166.55,167.99,169.41,166.45,10210000.0,-0.0113
19.12.2023,168.45,166.0,168.47,165.55,9270000.0,0.0134
18.12.2023,166.23,165.92,167.13,165.63,8470000.0,0.0060999999999999995
15.12.2023,165.23,163.08,165.28,162.39,20310000.0,0.0076
14.12.2023,163.99,161.83,164.84,161.71,13390000.0,0.0182
13.12.2023,161.06,160.52,162.03,159.77,11510000.0,0.0034000000000000002
12.12.2023,160.52,159.23,160.65,158.88,10100000.0,0.0089
11.12.2023,159.1,158.52,159.3,158.15,7710000.0,0.0037
08.12.2023,158.52,157.26,158.78,156.98,7370000.0,0.011000000000000001
07.12.2023,156.79,156.69,157.31,156.15,7970000.0,0.0031
06.12.2023,156.31,158.84,159.22,156.0,9280000.0,-0.0105
05.12.2023,157.97,157.26,158.5,156.97,8470000.0,-0.0001
04.12.2023,157.99,156.02,158.05,155.88,9350000.0,0.0073
01.12.2023,156.84,155.82,157.86,155.82,8920000.0,0.0049
30.11.2023,156.08,154.91,156.13,154.38,9640000.0,0.011399999999999999
29.11.2023,154.32,154.17,155.63,154.0,9100000.0,0.0051
28.11.2023,153.54,153.22,153.87,152.72,6200000.0,0.0023
27.11.2023,153.19,153.43,153.53,152.71,5830000.0,-0.0023
24.11.2023,153.54,153.59,154.44,153.27,3500000.0,0.0014000000000000002
22.11.2023,153.33,153.41,153.88,152.9,5180000.0,0.0024
21.11.2023,152.97,153.2,153.63,152.57,7060000.0,-0.0021
20.11.2023,153.29,152.08,153.75,151.92,6990000.0,0.0031
17.11.2023,152.82,152.2,152.86,151.54,7810000.0,0.009000000000000001
16.11.2023,151.45,150.09,151.52,150.09,8130000.000000001,0.011399999999999999
15.11.2023,149.74,148.46,150.16,148.46,8369999.999999999,0.0088
14.11.2023,148.44,146.68,149.25,146.52,9930000.0,0.0182
13.11.2023,145.78,145.7,146.25,145.16,6470000.0,-0.0044
10.11.2023,146.43,144.94,146.48,144.08,7980000.0,0.0148
09.11.2023,144.29,145.44,145.65,143.7,7990000.0,-0.003
08.11.2023,144.72,144.11,144.84,143.62,7250000.0,0.0049
07.11.2023,144.01,143.51,144.26,142.82,6300000.0,-0.0005
06.11.2023,144.08,143.17,144.19,142.79,7630000.0,0.0076
03.11.2023,143.0,142.19,143.77,141.85,9540000.0,0.011200000000000002
02.11.2023,141.42,140.09,141.48,139.23,9270000.0,0.0178
01.11.2023,138.94,139.25,140.53,138.47,9180000.0,-0.0009
31.10.2023,139.06,137.71,139.24,137.47,9020000.0,0.011899999999999999
30.10.2023,137.42,136.44,138.04,136.04,8820000.0,0.0127
27.10.2023,135.69,138.95,139.1,135.19,17430000.0,-0.036000000000000004
26.10.2023,140.76,139.76,141.66,139.43,9000000.0,0.0026
25.10.2023,140.4,140.57,141.18,139.51,7320000.0,-0.0055000000000000005
24.10.2023,141.17,141.19,141.73,140.36,7920000.0,0.0012
23.10.2023,141.0,142.94,143.68,140.73,10130000.0,-0.013600000000000001
20.10.2023,142.95,144.57,145.14,142.12,12830000.0,-0.0161
19.10.2023,145.29,145.48,147.02,144.88,11140000.0,-0.0042
18.10.2023,145.91,146.59,147.48,145.37,9510000.0,-0.011000000000000001
17.10.2023,147.53,147.57,149.31,146.79,11460000.0,-0.0022
16.10.2023,147.85,149.45,149.52,146.72,12280000.0,-0.001
13.10.2023,148.0,148.5,153.11,147.84,28600000.0,0.015
12.10.2023,145.81,146.3,146.96,145.13,10370000.0,-0.0023
11.10.2023,146.15,146.51,147.23,145.02,8289999.999999999,0.0034000000000000002
10.10.2023,145.65,145.42,146.77,145.28,10890000.0,0.0060999999999999995
09.10.2023,144.77,143.66,145.4,143.5,6960000.0,-0.0023
06.10.2023,145.1,142.91,145.88,142.14,10160000.0,0.0154
05.10.2023,142.9,142.04,143.1,140.83,8550000.0,-0.0031
04.10.2023,143.35,143.19,143.47,141.93,8090000.0,0.0045000000000000005
03.10.2023,142.71,143.2,143.59,142.35,9370000.0,-0.0074
02.10.2023,143.77,144.83,145.62,142.63,9120000.0,-0.0086
29.09.2023,145.02,148.6,148.76,144.86,11920000.0,-0.0174
28.09.2023,147.59,146.28,148.87,146.01,8720000.0,0.0124
27.09.2023,145.78,145.19,146.09,144.51,6680000.0,0.0059
26.09.2023,144.93,144.6,145.84,144.23,7390000.0,-0.0104
25.09.2023,146.45,145.35,146.52,143.7,7010000.0,0.0049
