date,last,open,max,min,volume,delta
02.04.2024,60.15,60.45,60.73,60.11,12840000.0,-0.0087
01.04.2024,60.68,61.24,61.29,60.63,11010000.0,-0.008199999999999999
28.03.2024,61.18,61.17,61.26,61.0,13680000.0,0.0025
27.03.2024,61.03,60.85,61.42,60.7,12550000.0,0.008100000000000001
26.03.2024,60.54,60.53,60.71,60.38,13280000.0,0.0023
25.03.2024,60.4,60.52,60.71,60.12,13140000.0,-0.0013
22.03.2024,60.48,60.46,60.79,60.46,7850000.0,0.0003
21.03.2024,60.46,60.48,60.99,60.33,8390000.0,-0.0048
20.03.2024,60.75,60.18,60.81,60.15,12660000.0,0.0086
19.03.2024,60.23,60.24,60.35,60.06,14810000.0,0.0017000000000000001
18.03.2024,60.13,59.89,60.4,59.8,13950000.0,0.0042
15.03.2024,59.88,60.02,60.45,59.64,36660000.0,-0.0102
14.03.2024,60.5,60.58,60.8,60.4,13960000.0,-0.0101
13.03.2024,61.12,60.88,61.21,60.8,13750000.0,0.0102
12.03.2024,60.5,60.32,60.75,60.21,11840000.0,0.0043
11.03.2024,60.24,59.78,60.29,59.58,14110000.0,0.0121
08.03.2024,59.52,59.3,59.79,58.97,13240000.0,0.0013
07.03.2024,59.44,59.69,59.77,59.24,12640000.0,-0.0018
06.03.2024,59.55,59.52,59.99,59.38,10670000.0,0.0005
05.03.2024,59.52,59.91,60.11,59.42,12190000.0,-0.0048
04.03.2024,59.81,59.23,59.95,59.22,10070000.0,0.004699999999999999
01.03.2024,59.53,59.9,59.9,59.34,10930000.0,-0.008199999999999999
29.02.2024,60.02,60.35,60.64,59.9,18020000.0,-0.0063
28.02.2024,60.4,60.37,60.49,60.06,8029999.999999999,0.001
27.02.2024,60.34,60.54,60.78,60.12,9730000.0,-0.0060999999999999995
26.02.2024,60.71,61.24,61.27,60.66,10230000.0,-0.008
23.02.2024,61.2,61.09,61.62,61.0,13610000.0,0.0008
22.02.2024,61.15,60.99,61.25,60.5,12200000.0,-0.0015
21.02.2024,61.24,60.99,61.28,60.83,14260000.0,0.0089
20.02.2024,60.7,59.6,60.84,59.51,18340000.0,0.022099999999999998
16.02.2024,59.39,59.35,59.62,58.96,13950000.0,-0.0002
15.02.2024,59.4,59.42,59.59,59.13,13650000.0,0.0019
14.02.2024,59.29,59.17,59.59,59.03,15800000.0,-0.001
13.02.2024,59.35,59.5,60.65,58.79,24170000.0,-0.0059
12.02.2024,59.7,59.66,59.76,58.96,13490000.0,0.0024
09.02.2024,59.56,59.47,59.58,59.03,15240000.0,-0.0045000000000000005
08.02.2024,59.83,59.89,59.97,59.41,12850000.0,-0.0027
07.02.2024,59.99,60.07,60.21,59.94,10240000.0,0.0008
06.02.2024,59.94,59.96,60.05,59.68,12780000.0,-0.0017000000000000001
05.02.2024,60.04,60.38,60.38,59.88,12750000.0,-0.0083
02.02.2024,60.54,60.82,60.87,60.23,17540000.0,-0.0072
01.02.2024,60.98,59.57,61.01,59.36,15500000.0,0.025
31.01.2024,59.49,60.1,60.45,59.29,22840000.0,-0.0068000000000000005
30.01.2024,59.9,59.85,60.02,59.44,21860000.0,0.0028000000000000004
29.01.2024,59.73,59.34,59.79,59.17,14430000.0,0.0060999999999999995
26.01.2024,59.37,59.25,59.49,59.13,13030000.0,0.0034999999999999996
25.01.2024,59.16,59.01,59.17,58.66,13900000.0,0.0042
24.01.2024,58.91,59.8,59.81,58.89,15460000.0,-0.015700000000000002
23.01.2024,59.85,59.53,60.0,59.46,13530000.0,0.004699999999999999
22.01.2024,59.57,59.76,60.06,59.44,13730000.0,-0.0043
19.01.2024,59.83,60.26,60.28,59.64,14390000.0,-0.0055000000000000005
18.01.2024,60.16,59.69,60.23,59.53,10300000.0,0.0028000000000000004
17.01.2024,59.99,59.86,60.21,59.82,8880000.0,0.0
16.01.2024,59.99,60.39,60.43,59.85,11770000.0,-0.0066
12.01.2024,60.39,60.08,60.46,59.87,13220000.0,0.0097
11.01.2024,59.81,60.25,60.26,59.69,13670000.0,-0.006500000000000001
10.01.2024,60.2,60.22,60.41,59.98,12200000.0,0.0033
09.01.2024,60.0,59.99,60.13,59.62,10460000.0,-0.0018
08.01.2024,60.11,59.68,60.18,59.42,11540000.0,0.0074
05.01.2024,59.67,59.8,59.95,59.09,10410000.0,-0.0015
04.01.2024,59.76,60.05,60.26,59.66,12880000.0,-0.0033
03.01.2024,59.96,59.93,60.2,59.76,14800000.0,0.0023
02.01.2024,59.82,58.8,59.88,58.67,16140000.0,0.0151
29.12.2023,58.93,58.74,58.98,58.63,9240000.0,0.0031
28.12.2023,58.75,58.65,58.87,58.53,8330000.0,0.0007000000000000001
27.12.2023,58.71,58.64,58.77,58.4,8560000.0,0.0026
26.12.2023,58.56,58.06,58.71,58.06,6330000.0,0.0040999999999999995
22.12.2023,58.32,58.12,58.46,58.02,9030000.0,0.005699999999999999
21.12.2023,57.99,57.85,58.07,57.47,11550000.0,0.0066
20.12.2023,57.61,58.5,58.67,57.57,17060000.0,-0.0207
19.12.2023,58.83,59.0,59.2,58.63,14320000.0,-0.0032
18.12.2023,59.02,58.8,59.49,58.62,16719999.999999998,0.0072
15.12.2023,58.6,58.83,59.17,57.8,65180000.00000001,-0.0075
14.12.2023,59.04,59.97,60.04,58.77,22300000.0,-0.0149
13.12.2023,59.93,59.45,60.02,59.26,15250000.0,0.0086
12.12.2023,59.42,59.2,59.42,58.9,12560000.0,0.0064
11.12.2023,59.04,58.83,59.09,58.5,14430000.0,0.0073
08.12.2023,58.61,58.74,58.75,58.37,11180000.0,-0.0022
07.12.2023,58.74,58.67,58.89,58.39,11460000.0,0.0024
06.12.2023,58.6,58.56,58.73,58.21,12430000.0,-0.001
05.12.2023,58.66,58.55,58.83,58.42,11870000.0,0.0015
04.12.2023,58.57,58.59,58.96,58.44,14490000.0,-0.0012
01.12.2023,58.64,58.27,58.69,58.24,15370000.0,0.0034000000000000002
30.11.2023,58.44,57.96,58.46,57.6,21250000.0,0.0036
29.11.2023,58.23,58.58,58.67,58.1,11240000.0,-0.006
28.11.2023,58.58,58.4,58.83,58.36,13020000.0,0.0021
27.11.2023,58.46,58.54,58.69,58.27,15720000.0,-0.0019
24.11.2023,58.57,58.46,58.75,58.33,4820000.0,0.0026
22.11.2023,58.42,58.26,58.53,58.13,11330000.0,0.0067
21.11.2023,58.03,57.46,58.04,57.33,13840000.0,0.011000000000000001
20.11.2023,57.4,57.05,57.58,56.96,11550000.0,0.0024
17.11.2023,57.26,57.19,57.34,56.7,14480000.0,0.0019
16.11.2023,57.15,57.25,57.53,56.81,16010000.000000002,-0.001
15.11.2023,57.21,57.3,57.33,56.75,10200000.0,0.0019
14.11.2023,57.1,57.02,57.24,56.81,12700000.0,0.003
13.11.2023,56.93,56.62,57.1,56.6,12760000.0,0.0037
10.11.2023,56.72,56.87,56.92,56.06,11680000.0,0.0011
09.11.2023,56.66,57.03,57.14,56.37,12020000.0,-0.0075
08.11.2023,57.09,57.32,57.47,56.92,13730000.0,-0.0016
07.11.2023,57.18,56.92,57.4,56.73,10450000.0,0.0037
