date,last,open,max,min,volume,delta
02.04.2024,73.47,74.2,74.23,73.35,2460000.0,-0.0046
28.03.2024,73.81,73.62,74.1,73.36,2520000.0,0.0039000000000000003
27.03.2024,73.52,73.45,73.82,72.84,2009999.9999999998,0.001
26.03.2024,73.45,73.77,74.04,73.32,2049999.9999999998,-0.0037
25.03.2024,73.72,73.58,73.77,73.35,1380000.0,0.003
22.03.2024,73.5,73.34,73.64,72.96,1740000.0,0.0022
21.03.2024,73.34,74.47,74.52,73.04,2450000.0,-0.0062
20.03.2024,73.8,74.05,74.05,73.42,1630000.0,-0.004699999999999999
19.03.2024,74.15,73.64,74.23,73.29,2520000.0,0.0108
18.03.2024,73.36,73.38,73.94,73.11,1790000.0,0.0036
15.03.2024,73.1,72.88,73.98,72.69,7720000.0,0.0077
14.03.2024,72.54,72.5,73.45,72.18,3020000.0,0.0007000000000000001
13.03.2024,72.49,72.99,73.13,72.24,2930000.0,-0.0113
12.03.2024,73.32,72.49,73.49,72.18,3660000.0,0.0127
11.03.2024,72.4,72.38,72.5,72.01,1920000.0,-0.0021
08.03.2024,72.55,72.4,73.01,72.04,2020000.0,0.0021
07.03.2024,72.4,72.25,72.55,71.06,2670000.0,-0.0062
06.03.2024,72.85,73.68,73.84,72.79,2510000.0,-0.0123
05.03.2024,73.76,73.8,73.8,72.67,1780000.0,0.0003
04.03.2024,73.74,73.82,74.25,73.53,1920000.0,-0.004699999999999999
01.03.2024,74.09,74.17,75.07,73.87,4130000.0,0.0060999999999999995
29.02.2024,73.64,73.53,74.27,73.22,4240000.0,0.0033
28.02.2024,73.4,72.85,73.49,72.39,3370000.0,0.0172
27.02.2024,72.16,71.3,72.52,71.15,2470000.0,0.011200000000000002
26.02.2024,71.36,71.36,71.9,70.77,2730000.0,-0.0045000000000000005
23.02.2024,71.68,71.68,72.92,71.36,4350000.0,0.0058
22.02.2024,71.27,70.95,72.24,70.36,7350000.0,0.047
21.02.2024,68.07,67.57,68.66,67.37,3550000.0,0.019299999999999998
20.02.2024,66.78,67.31,67.43,66.45,2530000.0,-0.0126
19.02.2024,67.63,67.37,67.69,67.17,1770000.0,0.0037
16.02.2024,67.38,67.36,68.03,67.33,2850000.0,0.0079
15.02.2024,66.85,66.15,67.17,66.1,2870000.0,0.020099999999999996
14.02.2024,65.53,65.12,65.79,64.98,1250000.0,0.0014000000000000002
13.02.2024,65.44,65.69,66.39,65.27,2320000.0,-0.0032
12.02.2024,65.65,65.24,66.01,65.17,1430000.0,0.011200000000000002
09.02.2024,64.92,65.1,65.46,64.6,1750000.0,-0.0018
08.02.2024,65.04,64.35,65.27,63.94,1840000.0,0.0166
07.02.2024,63.98,64.14,65.16,63.98,2029999.9999999998,0.0003
06.02.2024,63.96,63.75,64.14,63.33,1840000.0,0.0123
05.02.2024,63.18,64.55,64.61,63.15,2390000.0,-0.018000000000000002
02.02.2024,64.34,64.0,65.13,63.7,3770000.0,0.02
01.02.2024,63.08,62.87,63.55,62.75,2450000.0,0.0037
31.01.2024,62.85,62.14,63.02,62.04,3120000.0,0.0095
30.01.2024,62.26,62.16,62.81,61.54,2009999.9999999998,0.0060999999999999995
29.01.2024,61.88,61.34,61.88,60.76,2160000.0,0.0101
26.01.2024,61.26,59.76,61.3,59.76,3210000.0,0.0253
25.01.2024,59.75,60.6,60.65,59.4,2850000.0,-0.0161
24.01.2024,60.73,60.6,61.03,60.09,1860000.0,0.0085
23.01.2024,60.22,59.44,60.92,59.33,2740000.0,0.015700000000000002
22.01.2024,59.29,59.41,60.05,59.14,2170000.0,0.003
19.01.2024,59.11,60.1,60.15,59.02,3090000.0,-0.012199999999999999
18.01.2024,59.84,59.12,60.33,58.84,2420000.0,0.0088
17.01.2024,59.32,60.25,60.51,59.21,3510000.0,-0.032
16.01.2024,61.28,61.18,61.42,60.71,2230000.0,-0.0023
15.01.2024,61.42,61.22,61.67,60.7,1910000.0,0.001
12.01.2024,61.36,62.42,62.53,61.18,2970000.0,-0.0138
11.01.2024,62.22,63.52,64.03,62.22,2420000.0,-0.0118
10.01.2024,62.96,63.74,64.06,62.96,2270000.0,-0.0132
09.01.2024,63.8,63.55,63.84,63.23,2110000.0,0.0038
08.01.2024,63.56,62.5,63.61,62.14,1680000.0,0.0161
05.01.2024,62.55,62.0,63.3,61.51,2350000.0,0.0037
04.01.2024,62.32,62.42,62.86,62.24,2210000.0,0.0019
03.01.2024,62.2,63.38,63.61,61.89,2310000.0,-0.0178
02.01.2024,63.33,62.75,63.78,62.26,1720000.0,0.0125
29.12.2023,62.55,62.3,62.76,62.26,748680.0,0.004699999999999999
28.12.2023,62.26,62.79,62.83,62.22,1320000.0,-0.006500000000000001
27.12.2023,62.67,62.67,63.02,62.38,1230000.0,-0.0029
22.12.2023,62.85,62.61,63.25,62.53,1660000.0,0.0022
21.12.2023,62.71,62.4,62.78,62.08,1590000.0,-0.0068000000000000005
20.12.2023,63.14,63.37,63.92,62.91,1880000.0,-0.0011
19.12.2023,63.21,63.25,63.66,63.15,1760000.0,-0.0052
18.12.2023,63.54,63.73,63.81,63.29,2440000.0,-0.0129
15.12.2023,64.37,64.01,65.32,63.97,6510000.0,0.0137
14.12.2023,63.5,63.4,64.19,63.05,4320000.0,0.0285
13.12.2023,61.74,61.94,62.61,61.67,2620000.0,-0.015600000000000001
12.12.2023,62.72,63.27,63.61,62.72,2160000.0,-0.0052
11.12.2023,63.05,62.96,63.25,62.47,2200000.0,0.0029
08.12.2023,62.87,62.44,63.11,62.11,2930000.0,0.0085
07.12.2023,62.34,62.08,62.56,61.96,2069999.9999999998,-0.0005
06.12.2023,62.37,61.7,62.98,61.43,2600000.0,0.015
05.12.2023,61.45,60.3,61.68,60.22,3040000.0,0.0154
04.12.2023,60.52,60.1,60.76,59.82,2120000.0,0.0063
01.12.2023,60.14,59.67,60.16,59.46,1960000.0,0.009399999999999999
30.11.2023,59.58,59.58,59.78,58.99,3590000.0,0.0049
29.11.2023,59.29,58.0,59.54,57.97,3050000.0,0.0229
28.11.2023,57.96,58.0,58.0,57.59,2080000.0,-0.0069
27.11.2023,58.36,58.5,58.65,58.05,1800000.0,-0.0034000000000000002
24.11.2023,58.56,58.0,58.64,57.62,2060000.0,0.0055000000000000005
23.11.2023,58.24,58.4,58.5,58.13,1320000.0,-0.0007000000000000001
22.11.2023,58.28,58.45,58.6,58.1,1690000.0,0.0021
21.11.2023,58.16,58.76,59.11,58.14,2240000.0,-0.0131
20.11.2023,58.93,58.99,59.08,58.46,2029999.9999999998,0.005600000000000001
17.11.2023,58.6,58.1,58.76,57.88,2600000.0,0.011200000000000002
16.11.2023,57.95,58.33,58.8,57.89,2200000.0,-0.0126
15.11.2023,58.69,58.29,58.79,58.1,2510000.0,0.0121
14.11.2023,57.99,57.03,58.09,56.47,3410000.0,0.0246
13.11.2023,56.6,56.86,57.03,56.21,2480000.0,0.0019
10.11.2023,56.49,56.75,56.86,56.24,2750000.0,-0.013999999999999999
09.11.2023,57.29,57.54,57.92,57.19,2049999.9999999998,-0.0028000000000000004
08.11.2023,57.45,56.58,57.81,56.39,2260000.0,0.0102
07.11.2023,56.87,57.18,57.59,56.68,2500000.0,-0.0115
06.11.2023,57.53,58.3,58.4,57.42,2340000.0,-0.0064
03.11.2023,57.9,58.21,58.49,57.88,4030000.0000000005,0.0066
02.11.2023,57.52,56.85,57.69,56.45,3880000.0,0.0277
01.11.2023,55.97,55.86,56.54,55.34,3840000.0,0.0097
31.10.2023,55.43,55.5,55.87,55.08,4010000.0,-0.0027
30.10.2023,55.58,56.01,56.43,55.27,3800000.0,-0.011200000000000002
