date,last,open,max,min,volume,delta
02.04.2024,277.74,280.23,280.23,277.45,2820000.0,-0.0089
01.04.2024,280.22,281.06,281.3,278.71,2290000.0,-0.0060999999999999995
28.03.2024,281.95,282.3,283.35,281.34,3450000.0,-0.0002
27.03.2024,282.02,278.63,282.3,278.41,2600000.0,0.012199999999999999
26.03.2024,278.62,279.24,279.45,277.17,2570000.0,0.0
25.03.2024,278.62,280.58,280.58,277.65,2980000.0,-0.014199999999999999
22.03.2024,282.63,284.05,284.38,282.12,1750000.0,-0.003
21.03.2024,283.48,284.45,285.58,282.64,2270000.0,-0.0034000000000000002
20.03.2024,284.45,283.5,284.6,281.37,2860000.0,0.005600000000000001
19.03.2024,282.87,279.2,284.4,278.58,4050000.0,0.0154
18.03.2024,278.58,279.47,280.3,278.07,3270000.0,-0.002
15.03.2024,279.14,281.89,284.23,278.38,5010000.0,-0.0092
14.03.2024,281.73,282.42,282.52,277.83,4610000.0,-0.004
13.03.2024,282.86,292.26,293.47,282.6,5330000.0,-0.038900000000000004
12.03.2024,294.31,295.68,296.36,293.54,2029999.9999999998,-0.0017000000000000001
11.03.2024,294.82,292.15,295.45,291.87,2890000.0,0.0078000000000000005
08.03.2024,292.55,290.04,293.48,288.83,2480000.0,0.0049
07.03.2024,291.11,294.2,294.92,291.03,2080000.0,-0.0062
06.03.2024,292.93,293.33,295.14,292.15,2150000.0,0.0013
05.03.2024,292.54,291.56,293.51,288.92,2940000.0,0.0055000000000000005
04.03.2024,290.94,289.37,291.24,288.5,2650000.0,0.0007000000000000001
01.03.2024,290.73,291.39,292.67,289.53,3030000.0,-0.0053
29.02.2024,292.28,294.2,294.75,291.71,3600000.0,-0.009899999999999999
28.02.2024,295.19,294.03,296.1,292.72,2280000.0,0.0049
27.02.2024,293.76,296.8,296.8,293.32,2560000.0,-0.0113
26.02.2024,297.12,298.21,298.68,296.4,2590000.0,-0.0021
23.02.2024,297.75,296.0,298.74,295.07,2200000.0,0.0062
22.02.2024,295.92,294.0,296.67,293.24,2460000.0,0.0068000000000000005
21.02.2024,293.91,293.09,295.2,292.25,2069999.9999999998,0.0043
20.02.2024,292.65,292.0,295.5,291.84,2260000.0,0.0022
16.02.2024,292.02,290.79,293.7,289.26,2840000.0,0.0005
15.02.2024,291.86,287.9,292.1,287.28,2230000.0,0.0128
14.02.2024,288.17,287.32,288.32,286.59,2130000.0,0.0037
13.02.2024,287.11,288.63,289.9,285.67,2750000.0,-0.008100000000000001
12.02.2024,289.44,289.0,291.19,288.76,2390000.0,-0.0001
09.02.2024,289.47,292.15,292.51,288.92,3320000.0,-0.0084
08.02.2024,291.93,286.2,293.15,284.2,4590000.0,0.016
07.02.2024,287.33,285.05,290.53,284.11,3940000.0,0.009399999999999999
06.02.2024,284.65,282.97,284.68,281.54,5930000.0,-0.0046
05.02.2024,285.97,287.01,291.44,283.33,7570000.0,-0.0373
02.02.2024,297.05,296.07,298.17,293.35,3970000.0,-0.0034999999999999996
01.02.2024,298.08,291.7,298.13,290.28,3330000.0,0.0183
31.01.2024,292.72,295.9,297.44,291.65,3480000.0,-0.0066
30.01.2024,294.65,292.14,294.92,290.2,2420000.0,0.008
29.01.2024,292.31,291.64,292.76,288.31,3900000.0,0.0002
26.01.2024,292.26,295.33,295.98,291.7,4210000.0,-0.0167
25.01.2024,297.21,300.74,301.31,296.09,3210000.0,-0.0108
24.01.2024,300.44,300.0,302.04,299.31,3210000.0,0.0013
23.01.2024,300.05,297.44,300.21,297.13,1870000.0,0.0055000000000000005
22.01.2024,298.41,300.95,302.39,297.74,3070000.0,-0.0070999999999999995
19.01.2024,300.53,298.0,301.08,296.52,4250000.0,0.021
18.01.2024,294.36,292.09,294.48,291.31,2210000.0,0.011000000000000001
17.01.2024,291.16,290.14,292.34,290.13,2009999.9999999998,0.0002
16.01.2024,291.09,293.47,294.25,289.98,2860000.0,-0.008100000000000001
12.01.2024,293.47,295.46,295.75,292.84,1710000.0,-0.0023
11.01.2024,294.15,294.45,294.95,290.65,2040000.0,0.0002
10.01.2024,294.09,291.0,294.39,290.87,2190000.0,0.0111
09.01.2024,290.87,289.63,290.87,287.52,2170000.0,-0.0034999999999999996
08.01.2024,291.9,288.51,292.0,287.52,3100000.0,0.0101
05.01.2024,288.99,289.21,290.33,287.2,3410000.0,-0.009399999999999999
04.01.2024,291.74,295.32,297.27,290.92,4600000.0,-0.009000000000000001
03.01.2024,294.39,297.0,297.99,294.25,3110000.0,-0.0089
02.01.2024,297.04,295.05,297.28,295.05,4450000.0,0.0018
29.12.2023,296.51,295.83,296.85,295.31,2230000.0,0.0023
28.12.2023,295.84,294.47,296.47,294.0,1900000.0,0.0044
27.12.2023,294.55,292.5,294.63,292.46,1890000.0,0.0058
26.12.2023,292.86,291.22,293.05,290.89,1370000.0,0.004
22.12.2023,291.7,290.7,292.47,290.5,1700000.0,0.0011
21.12.2023,291.39,290.57,291.53,289.29,2300000.0,0.0083
20.12.2023,288.99,290.73,291.67,288.72,2400000.0,-0.006
19.12.2023,290.73,290.67,291.72,289.59,2049999.9999999998,0.0017000000000000001
18.12.2023,290.23,288.65,290.59,287.56,2490000.0,0.0103
15.12.2023,287.27,290.41,291.75,285.72,6330000.0,-0.0095
14.12.2023,290.02,294.6,295.27,288.01,4560000.0,-0.02
13.12.2023,295.93,291.69,295.97,291.55,3250000.0,0.0155
12.12.2023,291.42,289.12,291.7,288.51,2140000.0,0.0079
11.12.2023,289.15,285.56,289.31,285.56,3310000.0,0.0127
08.12.2023,285.53,287.33,287.89,285.05,3620000.0,-0.0044
07.12.2023,286.79,287.49,288.15,285.64,2880000.0,-0.0002
06.12.2023,286.86,286.73,287.37,283.4,2760000.0,0.0011
05.12.2023,286.54,286.55,288.76,285.2,3000000.0,0.0014000000000000002
04.12.2023,286.13,284.99,287.4,284.99,3290000.0,0.0006
01.12.2023,285.96,283.25,286.86,283.0,4970000.0,0.0146
30.11.2023,281.84,280.42,282.28,278.06,4850000.0,0.0052
29.11.2023,280.38,282.21,282.47,279.5,2430000.0,-0.0060999999999999995
28.11.2023,282.09,281.5,283.54,281.35,2200000.0,0.0009
27.11.2023,281.84,282.66,283.9,281.09,3500000.0,-0.0025
24.11.2023,282.54,282.0,282.59,281.03,1220000.0,0.0022
22.11.2023,281.93,281.25,282.41,281.2,2290000.0,0.0052
21.11.2023,280.47,279.87,280.67,278.43,2940000.0,0.0052
20.11.2023,279.03,275.35,279.8,275.02,3500000.0,0.011899999999999999
17.11.2023,275.75,276.55,277.12,275.15,2600000.0,-0.0013
16.11.2023,276.12,271.07,276.16,271.03,3590000.0,0.0212
15.11.2023,270.39,272.43,273.1,269.02,2580000.0,-0.0040999999999999995
14.11.2023,271.49,270.0,271.66,269.35,2650000.0,0.0085
13.11.2023,269.2,267.4,269.72,267.26,2450000.0,0.0053
10.11.2023,267.79,267.33,268.13,265.21,2670000.0,0.0033
09.11.2023,266.91,268.24,268.34,265.94,2500000.0,-0.0022
08.11.2023,267.49,268.83,270.06,267.28,2210000.0,-0.0044
07.11.2023,268.67,268.8,269.79,268.11,2360000.0,-0.0009
06.11.2023,268.91,268.01,269.11,267.3,3090000.0,0.0039000000000000003
03.11.2023,267.87,267.56,268.61,265.48,3130000.0,0.0038
02.11.2023,266.85,263.59,267.42,263.51,4070000.0000000005,0.018600000000000002
01.11.2023,261.97,263.0,263.39,259.83,3460000.0,-0.0008
31.10.2023,262.17,263.46,263.69,259.75,3980000.0,0.0078000000000000005
30.10.2023,260.15,260.1,262.06,254.6,6300000.0,0.0172
27.10.2023,255.76,256.55,259.38,254.87,3210000.0,-0.0003
26.10.2023,255.83,258.36,259.54,255.68,2700000.0,-0.0085
25.10.2023,258.03,258.12,259.43,256.94,2750000.0,0.003
24.10.2023,257.27,254.68,257.76,254.68,2460000.0,0.009899999999999999
23.10.2023,254.75,256.61,257.23,254.54,3410000.0,-0.013000000000000001
20.10.2023,258.11,258.96,260.34,257.56,3770000.0,-0.001
19.10.2023,258.38,256.26,262.56,256.26,5530000.0,0.0092
18.10.2023,256.03,252.85,257.09,252.34,4560000.0,0.0195
17.10.2023,251.14,250.09,251.4,249.38,2630000.0,0.0048
16.10.2023,249.94,249.22,250.49,248.07,2770000.0,0.0066
13.10.2023,248.31,246.82,248.81,246.0,2650000.0,0.0086
12.10.2023,246.19,251.69,252.15,245.88,3510000.0,-0.0189
11.10.2023,250.92,252.59,252.69,249.39,2920000.0,-0.0024
10.10.2023,251.52,251.72,253.43,250.5,3120000.0,0.0064
09.10.2023,249.92,247.72,249.99,247.26,2780000.0,0.0068000000000000005
