date,last,open,max,min,volume,delta
02.04.2024,421.44,420.25,422.35,417.87,17720000.0,-0.0074
01.04.2024,424.57,423.95,427.89,422.22,15600000.0,0.0092
28.03.2024,420.72,420.96,421.87,419.12,21870000.0,-0.0017000000000000001
27.03.2024,421.43,424.44,424.45,419.01,16700000.0,-0.0005
26.03.2024,421.65,425.61,425.99,421.35,16730000.0,-0.0029
25.03.2024,422.86,425.24,427.41,421.61,18060000.0,-0.0137
22.03.2024,428.74,429.7,429.86,426.07,17650000.0,-0.0015
21.03.2024,429.37,429.83,430.82,427.16,21300000.0,0.0097
20.03.2024,425.23,422.0,425.96,420.66,17630000.0,0.0091
19.03.2024,421.41,417.83,421.67,415.55,19760000.0,0.0098
18.03.2024,417.32,414.25,420.73,413.78,20040000.0,0.0022
15.03.2024,416.42,419.29,422.6,412.79,43740000.0,-0.0207
14.03.2024,425.22,420.24,427.82,417.99,33960000.0,0.024399999999999998
13.03.2024,415.1,418.1,418.18,411.45,16990000.0,-0.0004
12.03.2024,415.28,407.62,415.57,406.79,21560000.0,0.026600000000000002
11.03.2024,404.52,403.76,405.68,401.26,16120000.000000002,-0.0042
08.03.2024,406.22,407.96,410.42,404.33,18000000.0,-0.0070999999999999995
07.03.2024,409.14,406.12,409.78,402.24,18220000.0,0.0175
06.03.2024,402.09,402.97,405.16,398.39,22280000.0,-0.0014000000000000002
05.03.2024,402.65,413.96,414.25,400.64,26780000.0,-0.0296
04.03.2024,414.92,413.44,417.35,412.32,17120000.0,-0.0014000000000000002
01.03.2024,415.5,411.27,415.87,410.88,17820000.0,0.0045000000000000005
29.02.2024,413.64,408.64,414.2,405.92,31730000.0,0.014499999999999999
28.02.2024,407.72,408.17,409.3,405.32,13020000.0,0.0006
27.02.2024,407.48,407.99,408.32,403.85,14750000.0,-0.0001
26.02.2024,407.54,411.45,412.16,407.36,15940000.0,-0.0068000000000000005
23.02.2024,410.34,415.67,415.86,408.97,16300000.0,-0.0032
22.02.2024,411.65,410.19,412.83,408.57,25390000.0,0.0235
21.02.2024,402.18,400.17,402.29,397.22,17860000.0,-0.0015
20.02.2024,402.79,403.24,404.49,398.01,24040000.0,-0.0031
16.02.2024,404.06,407.96,408.29,403.44,22300000.0,-0.0060999999999999995
15.02.2024,406.56,408.14,409.13,404.29,21740000.0,-0.0072
14.02.2024,409.49,408.07,409.84,404.57,20220000.0,0.0078000000000000005
13.02.2024,406.32,404.94,410.07,403.39,27220000.0,-0.0215
12.02.2024,415.26,420.55,420.74,414.75,20430000.0,-0.0126
09.02.2024,420.55,415.25,420.82,415.09,22030000.0,0.015600000000000001
08.02.2024,414.11,414.05,415.56,412.53,20560000.0,0.0001
07.02.2024,414.05,407.44,414.3,407.4,22260000.0,0.021099999999999997
06.02.2024,405.49,405.88,407.97,402.91,18380000.0,-0.0004
05.02.2024,405.65,409.9,411.16,403.99,25050000.0,-0.013500000000000002
02.02.2024,411.22,403.81,412.65,403.56,28260000.0,0.0184
01.02.2024,403.78,401.83,408.0,401.8,29230000.0,0.015600000000000001
31.01.2024,397.58,406.96,415.32,397.21,46780000.0,-0.0269
30.01.2024,408.59,412.26,413.05,406.45,29340000.0,-0.0028000000000000004
29.01.2024,409.72,406.06,409.98,404.33,23290000.0,0.0143
26.01.2024,403.93,404.37,406.17,402.43,17800000.0,-0.0023
25.01.2024,404.87,404.32,407.01,402.53,20550000.0,0.005699999999999999
24.01.2024,402.56,401.54,405.63,400.45,23280000.0,0.0092
23.01.2024,398.9,395.75,399.38,393.93,18230000.0,0.006
22.01.2024,396.51,400.02,400.62,393.59,27020000.0,-0.0054
19.01.2024,398.67,395.76,398.67,393.5,29330000.0,0.012199999999999999
18.01.2024,393.87,391.72,393.99,390.12,21980000.0,0.0113
17.01.2024,389.47,387.98,390.11,384.81,20260000.0,-0.002
16.01.2024,390.27,393.66,394.03,387.62,26920000.0,0.0046
12.01.2024,388.47,385.49,388.68,384.65,21660000.0,0.01
11.01.2024,384.63,386.0,390.68,380.38,27850000.0,0.0049
10.01.2024,382.77,376.37,384.17,376.32,25170000.0,0.018600000000000002
09.01.2024,375.79,372.01,375.99,371.19,20830000.0,0.0029
08.01.2024,374.69,369.3,375.2,369.01,23130000.0,0.0189
05.01.2024,367.75,368.97,372.06,366.5,21000000.0,-0.0005
04.01.2024,367.94,370.67,373.1,367.17,20700000.0,-0.0072
03.01.2024,370.6,369.01,373.26,368.51,21800000.0,-0.0007000000000000001
02.01.2024,370.87,373.86,375.9,366.77,24820000.0,-0.0137
29.12.2023,376.04,376.0,377.16,373.48,18730000.0,0.002
28.12.2023,375.28,375.37,376.46,374.16,14190000.0,0.0032
27.12.2023,374.07,373.69,375.06,372.81,14870000.0,-0.0016
26.12.2023,374.66,375.0,376.94,373.5,12650000.0,0.0002
22.12.2023,374.58,373.68,375.18,372.71,17110000.0,0.0028000000000000004
21.12.2023,373.54,372.56,374.41,370.04,17630000.0,0.0079
20.12.2023,370.62,375.0,376.03,370.53,26020000.0,-0.0070999999999999995
19.12.2023,373.26,371.49,373.26,369.84,20530000.0,0.0016
18.12.2023,372.65,369.45,373.0,368.68,21800000.0,0.0052
15.12.2023,370.73,366.85,372.4,366.28,78500000.0,0.0131
14.12.2023,365.93,373.31,373.76,364.13,43070000.0,-0.0225
13.12.2023,374.37,376.02,377.64,370.77,30360000.0,0.0
12.12.2023,374.38,370.85,374.42,370.46,24710000.0,0.0083
11.12.2023,371.3,368.48,371.6,366.1,27660000.0,-0.0078000000000000005
08.12.2023,374.23,369.2,374.46,368.23,20150000.0,0.0088
07.12.2023,370.95,368.23,371.45,366.32,22870000.0,0.0058
06.12.2023,368.8,373.54,374.18,368.03,21120000.0,-0.01
05.12.2023,372.52,366.45,373.08,365.62,22920000.0,0.0092
04.12.2023,369.14,369.1,369.52,362.9,31940000.0,-0.0143
01.12.2023,374.51,376.76,378.16,371.31,33040000.0,-0.0116
