date,last,open,max,min,volume,delta
03.04.2024,1271.8,1283.2,1283.2,1265.0,1300000.0,-0.0089
02.04.2024,1283.2,1313.6,1314.6,1274.8,3330000.0,-0.0254
01.04.2024,1316.6,1315.2,1320.0,1310.0,1200000.0,0.003
29.03.2024,1312.6,1322.2,1328.8,1312.0,994710.0,-0.0044
28.03.2024,1318.4,1305.0,1321.0,1303.6,1390000.0,0.0106
27.03.2024,1304.6,1317.0,1319.8,1303.4,1500000.0,-0.009300000000000001
26.03.2024,1316.8,1322.8,1333.8,1312.0,2720000.0,-0.0356
25.03.2024,1365.4,1356.0,1367.0,1342.4,2470000.0,0.0144
22.03.2024,1346.0,1361.0,1367.8,1336.0,1830000.0,-0.0109
21.03.2024,1360.8,1375.8,1383.8,1354.6,2270000.0,-0.0064
20.03.2024,1369.6,1382.2,1386.4,1350.0,2270000.0,-0.0009
19.03.2024,1370.8,1404.6,1408.0,1364.4,1960000.0,-0.0241
18.03.2024,1404.6,1400.0,1415.0,1397.8,714610.0,0.0033
15.03.2024,1400.0,1401.4,1408.4,1395.8,550300.0,0.0001
14.03.2024,1399.8,1406.8,1408.6,1377.0,1160000.0,-0.0048
13.03.2024,1406.6,1419.2,1426.8,1401.0,1290000.0,-0.0079
12.03.2024,1417.8,1397.8,1423.8,1389.4,1960000.0,0.015600000000000001
11.03.2024,1396.0,1394.0,1399.0,1385.6,1210000.0,0.0046
07.03.2024,1389.6,1387.6,1395.0,1374.0,1410000.0,0.0033
06.03.2024,1385.0,1346.0,1389.8,1340.2,2770000.0,0.0311
05.03.2024,1343.2,1339.0,1347.8,1326.0,1130000.0,0.004
04.03.2024,1337.8,1355.0,1357.0,1328.0,2330000.0,-0.0076
01.03.2024,1348.0,1349.8,1355.0,1345.0,690500.0,-0.0012
29.02.2024,1349.6,1360.0,1360.0,1338.4,993000.0,0.0024
28.02.2024,1346.4,1373.0,1373.0,1343.4,1100000.0,-0.0209
27.02.2024,1375.2,1352.2,1377.0,1348.0,1220000.0,0.0175
26.02.2024,1351.6,1338.0,1353.4,1330.4,1170000.0,0.0106
22.02.2024,1337.4,1358.8,1362.0,1325.4,2840000.0,-0.015700000000000002
21.02.2024,1358.8,1380.0,1390.0,1338.8,1380000.0,-0.0148
20.02.2024,1379.2,1388.2,1401.0,1374.2,1160000.0,-0.006500000000000001
19.02.2024,1388.2,1410.6,1416.0,1385.0,1100000.0,-0.0152
16.02.2024,1409.6,1409.0,1420.0,1403.0,856750.0,0.0004
15.02.2024,1409.0,1414.6,1415.8,1388.0,1410000.0,-0.002
14.02.2024,1411.8,1424.4,1431.8,1409.6,789600.0,-0.0072
13.02.2024,1422.0,1411.6,1424.0,1405.4,1120000.0,0.009399999999999999
12.02.2024,1408.8,1426.2,1431.0,1400.0,1690000.0,-0.011399999999999999
09.02.2024,1425.0,1441.4,1466.4,1420.2,2150000.0,-0.009300000000000001
08.02.2024,1438.4,1462.0,1467.6,1435.0,1140000.0,-0.021400000000000002
07.02.2024,1469.8,1483.0,1484.2,1462.0,1100000.0,-0.0051
06.02.2024,1477.4,1496.6,1499.8,1471.2,2140000.0,-0.0111
05.02.2024,1494.0,1446.2,1498.0,1443.6,2690000.0,0.0351
02.02.2024,1443.4,1450.0,1456.6,1442.0,581780.0,-0.0015
01.02.2024,1445.6,1443.0,1460.0,1439.0,1000000.0,0.0046
31.01.2024,1439.0,1435.0,1449.0,1430.6,687510.0,0.0033
30.01.2024,1434.2,1437.4,1443.2,1425.2,935270.0,-0.0011
29.01.2024,1435.8,1424.0,1436.8,1418.0,765950.0,0.0086
26.01.2024,1423.6,1443.0,1443.8,1420.6,913770.0,-0.0085
25.01.2024,1435.8,1450.0,1459.8,1431.0,797470.0,-0.008199999999999999
24.01.2024,1447.6,1434.2,1450.0,1433.4,1250000.0,0.0116
23.01.2024,1431.0,1444.6,1448.6,1430.0,764180.0,-0.009399999999999999
22.01.2024,1444.6,1425.0,1456.0,1421.0,2360000.0,-0.0085
19.01.2024,1457.0,1465.0,1468.0,1451.0,693210.0,-0.0060999999999999995
18.01.2024,1466.0,1476.4,1485.0,1461.2,923100.0,-0.0062
17.01.2024,1475.2,1474.8,1484.8,1460.0,895940.0,0.0003
16.01.2024,1474.8,1498.0,1498.0,1467.0,908450.0,-0.011699999999999999
15.01.2024,1492.2,1504.0,1515.0,1482.8,828410.0,-0.0053
12.01.2024,1500.2,1508.0,1509.2,1497.6,455490.0,-0.0034999999999999996
