date,last,open,max,min,volume,delta
02.04.2024,175.6,177.0,177.76,175.04,1260000.0,-0.0077
28.03.2024,176.96,178.0,178.0,176.24,1440000.0,0.0002
27.03.2024,176.92,175.4,177.08,174.66,998730.0,0.0092
26.03.2024,175.3,173.98,176.1,173.58,1170000.0,0.0070999999999999995
25.03.2024,174.06,175.12,175.74,173.48,868060.0,-0.0076
22.03.2024,175.4,174.5,175.82,172.58,1080000.0,0.0032
21.03.2024,174.84,178.68,179.1,173.34,1470000.0,-0.0052
20.03.2024,175.76,172.1,177.56,172.08,1750000.0,0.015700000000000002
19.03.2024,173.04,183.44,184.26,170.94,3040000.0,-0.0576
18.03.2024,183.62,185.02,186.38,183.4,874390.0,-0.0072
15.03.2024,184.96,184.18,186.98,183.52,4080000.0,0.0052
14.03.2024,184.0,184.06,184.8,183.0,1180000.0,0.0005
13.03.2024,183.9,182.54,184.34,182.08,966260.0,0.0063
12.03.2024,182.74,181.22,182.94,179.1,1100000.0,0.011699999999999999
11.03.2024,180.62,179.0,180.62,177.88,944460.0,-0.0070999999999999995
08.03.2024,181.92,181.74,182.6,181.22,970400.0,0.0021
07.03.2024,181.54,178.48,182.18,178.12,1070000.0,0.0086
06.03.2024,180.0,178.78,180.0,177.66,1460000.0,0.008199999999999999
05.03.2024,178.54,179.12,180.52,178.02,1080000.0,-0.013999999999999999
04.03.2024,181.08,180.74,182.18,180.4,787620.0,-0.0011
01.03.2024,181.28,184.5,184.84,180.66,1340000.0,-0.0091
29.02.2024,182.94,180.9,183.2,180.76,2560000.0,0.0171
28.02.2024,179.86,176.16,180.0,175.72,1510000.0,0.0183
27.02.2024,176.62,174.96,176.88,174.5,1110000.0,0.0098
26.02.2024,174.9,174.52,175.24,173.9,1040000.0,-0.0023
23.02.2024,175.3,171.96,175.56,171.46,1840000.0,0.018600000000000002
22.02.2024,172.1,170.98,173.04,169.74,1550000.0,0.0158
21.02.2024,169.42,168.58,170.1,168.58,1080000.0,0.0040999999999999995
20.02.2024,168.72,168.74,169.32,168.0,874320.0,-0.0051
19.02.2024,169.58,169.1,169.8,167.64,910530.0,0.0021
16.02.2024,169.22,167.72,169.92,167.5,1760000.0,0.013300000000000001
15.02.2024,167.0,165.7,168.18,165.7,1350000.0,0.011899999999999999
14.02.2024,165.04,163.18,165.04,162.4,885880.0,0.0083
13.02.2024,163.68,165.04,165.04,162.06,1160000.0,-0.0088
12.02.2024,165.14,166.0,166.58,165.14,814540.0,-0.0023
09.02.2024,165.52,166.1,166.68,164.6,1780000.0,-0.025099999999999997
08.02.2024,169.78,164.0,174.0,163.9,2640000.0,0.0096
07.02.2024,168.16,167.54,169.2,165.76,1440000.0,0.004699999999999999
06.02.2024,167.38,166.6,167.8,163.3,1240000.0,0.0168
05.02.2024,164.62,165.62,167.0,164.08,960920.0,-0.012199999999999999
02.02.2024,166.66,167.96,167.96,165.78,1120000.0,0.0006
01.02.2024,166.56,166.4,167.18,165.14,1190000.0,-0.0007000000000000001
31.01.2024,166.68,168.76,170.48,166.38,2120000.0,-0.015600000000000001
30.01.2024,169.32,168.52,169.5,168.12,1070000.0,0.0118
29.01.2024,167.34,167.34,167.62,166.28,1000000.0,-0.0031
26.01.2024,167.86,167.18,168.38,165.64,1110000.0,0.0039000000000000003
25.01.2024,167.2,166.82,167.56,165.14,968830.0,-0.0018
24.01.2024,167.5,162.7,167.5,162.7,1410000.0,0.0337
23.01.2024,162.04,163.88,164.6,162.04,991170.0,-0.0083
22.01.2024,163.4,162.5,163.4,162.04,915400.0,0.015300000000000001
19.01.2024,160.94,161.6,162.1,159.88,1110000.0,0.0007000000000000001
18.01.2024,160.82,159.48,160.82,158.34,1110000.0,0.0118
17.01.2024,158.94,158.56,159.66,157.78,1270000.0,-0.0138
16.01.2024,161.16,160.52,161.46,160.12,1040000.0,-0.004699999999999999
15.01.2024,161.92,163.62,163.92,161.72,655850.0,-0.0074
12.01.2024,163.12,162.22,163.52,161.94,1190000.0,0.015300000000000001
11.01.2024,160.66,161.64,163.1,159.92,1120000.0,-0.0007000000000000001
10.01.2024,160.78,160.3,161.0,159.42,975030.0,0.0087
09.01.2024,159.4,160.82,160.96,158.46,1280000.0,-0.0086
08.01.2024,160.78,160.18,161.42,159.9,827480.0,0.0017000000000000001
05.01.2024,160.5,159.44,160.62,158.1,1410000.0,-0.0118
04.01.2024,162.42,162.62,163.46,161.36,1140000.0,0.0006
03.01.2024,162.32,167.84,167.84,161.32,1660000.0,-0.0331
02.01.2024,167.88,168.92,171.06,166.38,1250000.0,-0.012
29.12.2023,169.92,168.62,169.92,168.48,571940.0,0.0085
28.12.2023,168.48,169.26,169.44,168.34,633470.0,-0.002
27.12.2023,168.82,168.36,169.34,168.18,752830.0,0.0044
22.12.2023,168.08,167.82,168.62,167.42,981830.0,-0.0024
21.12.2023,168.48,167.58,169.14,167.42,1170000.0,-0.0039000000000000003
20.12.2023,169.14,168.5,169.7,167.68,1390000.0,0.0069
19.12.2023,167.98,163.92,168.04,163.7,1670000.0,0.027999999999999997
