date,last,open,max,min,volume,delta
03.04.2024,31.05,30.935,31.325,30.58,30900000.0,0.0052
02.04.2024,30.89,31.36,32.21,30.585,131570000.0,-0.010700000000000001
01.04.2024,31.225,30.0,31.625,29.665,162070000.0,0.045
29.03.2024,29.88,29.175,29.885,28.925,64310000.0,0.024300000000000002
28.03.2024,29.17,29.39,29.57,29.1,43030000.0,-0.0051
27.03.2024,29.32,29.1,29.395,28.76,40620000.0,0.0086
26.03.2024,29.07,29.36,29.455,28.845,62740000.0,-0.0078000000000000005
25.03.2024,29.3,28.52,29.35,28.58,88060000.0,0.0321
22.03.2024,28.39,28.25,28.9,28.25,90760000.0,0.005
21.03.2024,28.25,28.715,28.795,27.965,51370000.0,-0.0121
20.03.2024,28.595,28.86,29.115,28.25,56890000.0,-0.0088
19.03.2024,28.85,29.55,29.69,28.755,35820000.0,-0.021400000000000002
18.03.2024,29.48,29.265,29.58,29.225,19360000.0,0.0075
15.03.2024,29.26,29.21,29.45,29.15,16219999.999999998,0.0007000000000000001
14.03.2024,29.24,29.4,29.49,29.115,21240000.0,-0.0048
13.03.2024,29.38,29.78,29.78,29.35,13740000.0,-0.0108
12.03.2024,29.7,29.62,29.85,29.32,15900000.0,0.0029
11.03.2024,29.615,29.9,30.05,29.4,22450000.0,-0.006999999999999999
07.03.2024,29.825,29.825,29.995,29.7,17570000.0,0.0013
06.03.2024,29.785,29.79,29.89,29.57,16790000.0,0.0015
05.03.2024,29.74,29.79,30.37,29.565,56330000.0,0.0013
04.03.2024,29.7,29.43,29.9,29.32,35370000.0,0.013300000000000001
01.03.2024,29.31,29.425,29.49,29.215,16059999.999999998,-0.0032
29.02.2024,29.405,29.305,29.49,29.055,18280000.0,0.0079
28.02.2024,29.175,29.385,29.605,29.05,23170000.0,-0.0105
27.02.2024,29.485,29.375,29.875,29.03,45240000.0,0.0068000000000000005
26.02.2024,29.285,28.8,29.395,28.755,32479999.999999996,0.0268
22.02.2024,28.52,28.715,29.17,28.295,34650000.0,-0.0044
21.02.2024,28.645,28.995,29.2,28.4,48070000.0,-0.0121
20.02.2024,28.995,30.2,30.28,28.755,66110000.0,-0.0405
19.02.2024,30.22,30.475,30.74,30.16,30930000.0,-0.0012
16.02.2024,30.255,30.85,31.33,30.075,77490000.0,-0.0171
15.02.2024,30.78,30.41,30.87,30.265,38950000.0,0.0125
14.02.2024,30.4,30.5,30.93,30.35,31290000.0,-0.0033
13.02.2024,30.5,30.385,30.735,30.0,25070000.0,0.0073
12.02.2024,30.28,30.275,30.36,29.995,18200000.0,0.0043
09.02.2024,30.15,29.83,30.23,29.66,22210000.0,0.0134
