COIN,TSLA,ABEV,AAPL,ZLAB,BMBL,RLX,IOT,QQQM,GNS,TXT,DE,CEIX,BBY,ABT,KALA,AGCO,ABR,VOO,GERN
86.2,219.98,2.78,182.96,27.76,13.11,1.7,24.3,153.72,0.608,76.59,373.63,94.13,64.16,95.22,6.91,115.9,13.26,402.81,1.89
88.8,223.15,2.73,183.97,30.66,12.86,1.66,25.15,152.97,0.585,75.43,372.35,91.7,63.1,94.88,6.71,114.78,12.98,400.59,1.93
92.9,219.75,2.72,183.97,29.23,13.82,1.64,25.1,155.05,0.57,75.99,372.86,93.71,63.61,93.7,6.59,115.55,13.05,403.59,1.86
94.4,210.03,2.68,185.82,27.78,13.53,1.85,23.35,157.87,0.54,76.84,373.69,94.77,65.44,95.67,5.7,116.23,13.47,410.04,1.78
91.78,215.6,2.8,187.7,27.56,14.15,1.94,23.57,159.35,0.6,77.2,376.96,96.27,68.02,96.32,5.5,116.23,13.73,413.54,1.74
94.91,235.03,2.78,187.85,28.2,14.5,1.95,24.99,158.32,0.615,77.46,381.38,96.24,68.25,97.37,5.54,117.61,13.14,412.74,1.82
93.92,239.29,2.79,189.57,28.69,15.09,2.01,26.43,158.49,0.635,77.26,382.4,98.93,67.71,97.72,5.27,118.18,13.14,413.94,1.92
97.68,239.49,2.77,190.25,26.93,14.82,2.02,26.28,158.82,0.731,77.36,382.51,99.82,68.21,100.43,5.48,117.35,12.34,413.99,1.93
97.0,232.0,2.77,189.89,28.43,14.52,2.04,26.63,160.06,0.709,77.66,380.0,99.04,65.0,98.95,5.55,117.36,12.4,416.4,1.88
100.71,234.04,2.78,191.41,27.93,14.65,2.39,27.0,160.71,0.708,77.84,360.98,101.65,67.99,101.47,5.83,115.37,12.36,418.07,1.97
104.0,235.04,2.76,191.49,27.75,14.39,2.16,26.91,160.35,0.69,78.2,370.52,100.86,68.39,102.28,5.99,111.38,12.27,418.19,2.0
106.17,242.04,2.74,190.87,27.27,14.14,2.03,26.88,160.05,0.648,78.17,368.36,99.76,69.07,102.68,6.28,114.58,12.21,417.79,1.93
108.45,233.75,2.74,189.92,27.9,14.11,2.25,26.48,159.81,0.66,77.4,362.0,103.58,69.57,102.6,6.13,115.41,12.2,417.25,1.97
112.58,236.89,2.78,189.78,28.0,13.94,2.27,27.19,161.55,0.67,76.91,362.74,104.13,71.06,102.46,6.05,114.25,12.12,420.06,1.97
122.05,236.68,2.76,190.9,27.72,13.73,2.2,26.65,160.47,0.67,75.03,364.63,105.42,71.27,102.32,6.0,114.11,12.13,418.54,1.89
127.82,249.21,2.72,189.84,27.06,14.73,2.26,27.34,159.52,0.66,76.65,364.91,103.83,70.97,103.75,6.2,114.1,12.34,418.83,1.92
126.06,245.14,2.81,190.33,27.97,14.48,2.26,28.55,158.87,0.61,77.35,365.48,104.07,73.27,104.22,5.91,114.07,12.44,418.65,1.95
126.39,233.14,2.83,189.98,27.23,13.87,2.21,31.0,158.13,0.599,77.04,367.78,106.06,73.6,104.41,5.81,116.08,13.42,418.34,1.92
143.53,235.75,2.84,190.21,26.24,14.42,2.18,34.2,160.57,0.59,76.61,363.02,111.82,74.4,105.0,6.19,116.9,13.67,421.61,2.1
140.0,233.87,2.85,194.45,26.19,14.24,2.08,34.11,159.66,0.589,76.68,365.01,111.37,74.98,104.63,6.33,115.09,13.8,419.81,1.86
142.5,242.92,2.89,193.63,26.97,14.01,2.13,35.15,159.92,0.55,76.5,361.8,110.56,74.93,105.19,9.0,115.31,13.17,420.37,1.98
131.02,241.55,2.86,194.2,27.45,14.3,2.08,34.42,161.23,0.58,76.01,364.49,101.98,75.0,104.12,7.95,114.78,13.54,422.41,2.0
136.19,240.27,2.86,193.11,26.97,14.06,2.05,33.4,162.77,0.56,77.32,360.95,103.95,75.0,104.21,7.4,116.2,13.8,424.22,2.07
141.5,242.74,2.89,193.08,25.33,13.95,2.01,33.35,164.42,0.6,77.35,359.35,100.76,73.5,106.37,7.39,114.33,14.04,426.88,2.07
139.89,238.55,2.87,195.09,26.07,14.66,1.895,33.76,166.66,0.624,79.2,381.24,97.43,72.77,106.01,7.16,113.51,14.17,434.22,1.95
139.62,234.19,2.92,198.02,28.0,14.34,1.99,34.29,166.35,0.584,79.2,385.93,93.4,73.71,107.83,7.23,118.52,15.25,433.19,1.96
152.1,241.22,2.91,197.53,29.9,15.45,2.135,36.7,166.58,0.585,79.1,386.83,97.5,78.05,107.86,6.8,121.93,15.82,434.64,2.09
151.81,251.21,2.91,196.09,30.21,15.3,2.09,35.73,166.58,0.68,79.59,384.91,97.37,77.5,107.64,6.65,119.39,15.46,436.04,2.24
144.81,253.78,2.98,196.16,29.54,15.09,2.09,33.77,167.68,0.78,79.63,394.16,99.9,77.5,108.15,6.92,118.77,15.53,435.51,2.25
155.5,253.48,2.96,196.9,30.84,15.22,2.12,34.45,168.0,0.75,79.93,390.94,96.33,77.0,107.85,6.82,121.21,15.9,435.51,2.2
164.73,256.41,2.94,196.1,29.29,15.25,2.07,33.55,167.44,0.781,79.92,393.3,101.67,76.24,107.42,6.76,121.15,15.67,433.13,2.26
166.71,251.9,2.79,195.18,26.93,15.17,2.02,33.64,168.27,0.84,80.16,396.85,99.85,75.73,108.86,6.77,121.98,15.95,435.46,2.2
169.77,256.76,2.79,193.61,25.63,14.88,1.92,33.86,168.36,0.78,80.45,400.12,101.72,76.36,108.51,6.86,122.35,15.84,435.67,2.25
174.8,254.49,2.81,192.49,25.35,14.95,1.98,34.26,169.18,0.72,80.5,400.85,104.02,77.8,109.04,7.38,122.31,16.2,436.9,2.32
176.32,258.35,2.81,194.14,25.81,14.82,1.92,34.89,169.84,0.74,80.84,400.85,103.58,78.0,109.85,7.59,122.3,15.96,438.25,2.34
179.31,263.66,2.84,193.9,26.15,14.84,2.04,33.4,169.3,0.68,80.59,399.48,102.43,78.45,110.4,7.82,122.04,15.76,437.87,2.21
186.06,255.1,2.8,187.15,27.49,15.2,1.98,33.68,167.03,0.7,80.42,399.12,101.5,78.25,109.56,7.18,121.13,15.0,433.91,2.15
173.02,250.08,2.78,184.22,26.34,14.5,2.0,32.75,164.62,0.669,79.99,396.62,101.0,76.88,110.14,7.01,120.42,14.8,432.32,2.1
146.0,244.98,2.75,182.15,25.78,14.2,1.93,30.78,163.18,0.621,78.5,394.51,100.97,75.13,109.68,6.95,119.56,14.67,430.33,2.14
152.5,239.25,2.72,181.99,26.43,13.87,1.91,30.08,163.18,0.555,78.47,390.43,104.75,75.28,110.71,6.82,119.09,14.71,429.59,2.03
152.67,236.86,2.78,182.09,26.85,14.0,1.92,29.89,163.83,0.54,78.11,393.53,105.26,75.69,111.13,7.03,121.3,14.51,430.45,2.1
157.8,236.14,2.76,183.92,26.54,14.04,1.9,30.77,165.42,0.59,78.28,395.71,103.32,74.79,112.15,7.0,122.01,14.43,433.62,2.0
159.6,238.11,2.76,184.35,26.83,14.72,1.88,31.84,167.15,0.574,78.46,393.14,101.79,75.39,113.05,7.42,120.91,14.82,435.77,2.11
149.21,235.1,2.79,186.54,26.66,14.36,1.89,33.0,168.7,0.574,78.09,394.84,99.54,76.0,113.26,8.24,120.3,15.05,438.94,2.1
159.19,230.57,2.8,186.06,26.1,14.14,1.91,32.97,168.92,0.54,78.69,392.03,94.95,74.99,113.26,7.62,120.2,15.19,439.11,2.06
137.19,220.08,2.8,182.16,25.0,14.29,1.89,33.38,168.07,0.273,79.0,385.75,96.38,73.24,114.17,7.7,116.67,14.57,436.79,2.06
129.44,215.1,2.75,181.27,24.42,13.83,1.86,32.83,167.2,0.278,77.0,381.2,96.0,71.16,113.51,7.82,116.88,14.07,433.6,2.03
130.51,214.86,2.71,186.09,23.58,13.85,1.73,32.98,169.08,0.27,77.49,379.1,92.75,71.43,113.62,7.93,115.67,14.19,435.58,1.96
133.25,216.88,2.67,189.33,23.5,13.67,1.86,33.02,170.93,0.279,78.5,382.61,95.97,71.0,114.2,8.64,115.84,14.44,439.0,1.92
124.34,209.99,2.7,192.3,22.86,14.14,1.77,32.11,174.28,0.279,79.0,381.96,99.98,71.26,113.63,8.4,117.49,14.74,444.77,1.9
124.05,212.26,2.67,195.02,21.52,13.85,1.75,33.18,173.88,0.327,79.7,387.18,100.5,74.25,114.93,7.3,118.83,14.19,444.83,1.91
122.41,211.3,2.67,195.42,22.9,14.25,1.81,33.56,175.93,0.38,82.52,389.94,96.17,73.72,114.45,7.11,120.68,14.11,448.32,2.04
127.28,211.88,2.71,195.22,23.13,14.42,1.83,33.03,176.34,0.38,86.32,393.14,98.63,74.0,110.75,7.05,122.2,13.62,448.14,2.14
122.38,189.7,2.67,194.27,23.03,14.1,1.76,31.68,174.69,0.48,86.49,393.78,99.09,75.5,111.41,7.12,124.11,13.75,448.1,2.09
127.52,185.5,2.67,192.01,22.55,14.42,1.74,30.94,174.65,0.4,84.86,393.95,94.27,74.74,113.23,7.13,123.07,13.8,448.23,2.16
127.09,185.63,2.67,190.94,22.54,14.23,1.78,31.04,175.84,0.38,85.68,395.14,95.0,72.67,112.15,7.2,122.61,14.16,450.84,2.17
136.05,195.33,2.64,187.04,22.4,14.18,1.76,32.34,173.24,0.45,86.0,397.32,92.4,73.03,113.9,7.17,124.01,14.0,449.04,2.07
129.09,187.0,2.65,183.99,21.87,13.53,1.76,31.6,172.38,0.381,85.02,395.08,95.38,72.85,114.0,6.99,122.98,13.4,445.35,2.03
128.75,188.5,2.61,179.86,22.25,13.73,1.84,31.68,174.47,0.382,85.42,390.24,95.35,74.54,112.75,6.95,122.16,13.38,450.01,1.91
126.9,185.04,2.62,188.15,22.31,13.78,1.71,31.25,176.61,0.36,85.47,392.0,94.97,74.61,112.96,6.88,121.21,12.67,453.73,1.9
128.7,184.26,2.62,186.86,22.52,13.6,1.76,32.65,176.82,0.395,85.89,389.21,93.55,74.0,112.02,7.1,130.08,12.75,453.58,1.87
118.61,177.21,2.63,190.64,22.55,13.15,1.86,32.0,177.16,0.37,86.55,390.43,94.42,75.29,111.82,6.96,122.45,12.58,456.15,1.82
119.68,188.18,2.63,189.39,20.4,13.84,1.82,31.75,177.94,0.386,87.75,385.88,87.05,75.56,114.6,6.98,117.75,12.23,457.81,1.9
127.22,189.0,2.58,188.65,19.24,13.42,1.83,32.68,178.62,0.401,87.58,384.17,82.52,75.5,113.35,6.92,116.81,12.19,458.54,1.9
142.16,190.18,2.57,188.65,19.52,13.0,1.84,35.07,179.87,0.39,87.08,384.33,85.79,75.79,112.25,6.92,115.35,12.35,460.61,1.92
141.1,192.11,2.58,188.42,18.81,13.31,1.86,36.28,175.89,0.38,86.8,384.63,83.15,74.06,111.5,7.26,114.45,12.34,454.48,2.1
138.39,183.99,2.59,185.77,18.0,13.33,1.92,32.3,177.56,0.371,86.79,383.0,82.75,73.04,112.47,7.24,114.15,12.27,456.58,2.3
151.83,185.3,2.52,185.32,18.65,13.27,1.96,33.3,178.65,0.38,86.49,367.1,82.5,74.79,111.64,7.18,114.15,12.7,458.9,2.2
168.79,189.16,2.57,183.55,19.8,13.48,2.05,35.05,179.04,0.368,86.2,360.99,79.56,74.3,112.27,7.2,112.51,13.5,461.08,2.11
189.05,202.06,2.55,183.42,20.07,13.82,2.1,34.5,176.45,0.37,84.86,359.5,80.02,73.22,113.5,7.13,110.0,13.82,457.44,2.09
179.87,196.13,2.61,181.79,20.0,13.36,2.04,34.0,174.77,0.377,84.36,356.59,78.47,73.0,114.33,6.79,108.24,13.3,455.32,2.02
164.25,193.36,2.58,181.94,19.3,13.19,2.04,32.0,178.87,0.38,85.6,354.13,77.0,74.54,115.96,6.83,106.31,13.07,463.22,1.95
164.85,194.0,2.58,183.48,19.77,13.28,2.02,32.71,181.0,0.366,85.41,357.98,79.52,75.46,118.1,7.14,106.95,12.85,468.09,1.96
167.38,195.31,2.59,185.01,20.0,13.1,2.0,33.03,180.16,0.352,86.0,364.02,80.62,76.07,119.38,7.72,107.44,13.0,467.19,1.97
168.66,192.29,2.58,182.24,20.2,13.08,1.98,33.6,180.18,0.35,87.24,363.13,80.74,76.65,119.5,7.02,107.55,13.15,465.71,1.99
205.18,204.04,2.65,181.1,22.74,12.9,1.99,33.78,179.26,0.335,87.76,361.41,82.96,79.42,118.16,7.22,107.83,13.17,464.49,2.1
209.41,200.42,2.68,182.51,21.8,11.75,1.96,33.31,180.4,0.348,88.04,366.37,82.27,83.01,119.49,7.22,107.43,13.35,466.97,2.1
206.46,204.18,2.51,181.27,21.6,11.43,1.98,33.55,181.09,0.33,89.07,365.01,82.98,81.31,120.32,7.18,110.39,12.94,467.83,2.02
202.7,200.52,2.5,179.55,20.83,11.47,1.96,34.86,183.47,0.33,88.68,368.6,86.6,78.49,118.57,7.5,109.98,12.94,470.61,2.03
217.39,198.73,2.48,176.15,21.01,11.47,1.91,35.54,181.45,0.322,89.18,363.94,90.57,75.97,118.3,7.78,111.04,12.9,468.95,2.26
