COIN,TSLA,ABEV,AAPL,ZLAB,BMBL,RLX,IOT,QQQM,GNS,TXT,DE,CEIX,BBY,ABT,KALA,AGCO,ABR,VOO,GERN
61.64,194.8,2.52,148.04,38.31,22.88,2.25,19.26,121.54,2.19,74.89,422.77,60.61,81.58,102.9,10.68,143.12,15.0,367.29,2.81
61.07,186.74,2.51,144.38,36.67,23.91,2.12,16.15,118.74,2.21,72.75,417.76,58.09,81.29,100.27,9.45,141.63,14.66,360.81,2.77
65.3,206.21,2.58,146.83,39.76,24.29,2.095,16.68,120.62,3.32,72.31,418.34,54.94,82.27,100.7,10.05,141.05,15.07,363.34,2.77
59.68,210.59,2.57,147.05,35.54,23.49,1.97,16.22,120.67,3.7,73.0,421.79,55.05,83.02,99.84,11.2,141.41,15.15,365.01,2.71
59.94,202.03,2.56,147.71,35.91,23.65,2.02,16.36,121.41,4.86,74.07,418.59,53.5,83.98,101.28,11.48,140.81,15.42,367.49,2.71
60.88,196.33,2.52,147.11,35.1,24.32,2.1,15.65,119.98,4.86,72.75,423.6,52.0,81.98,101.45,12.18,139.22,15.25,363.31,2.72
63.96,203.91,2.58,150.09,37.4,23.64,2.11,16.65,122.58,5.22,74.05,429.98,53.1,83.24,103.24,12.0,139.95,15.43,369.07,2.86
62.5,197.93,2.54,148.87,36.0,22.65,2.04,16.35,121.22,5.18,73.37,429.38,51.24,83.2,103.24,11.72,139.1,15.33,367.18,2.82
63.32,204.99,2.52,150.2,38.4,22.13,2.06,15.58,122.26,5.69,74.66,431.92,53.51,85.18,105.85,12.5,137.59,15.45,370.4,2.76
64.94,199.99,2.49,152.35,37.25,22.61,2.18,15.62,123.83,6.11,74.5,419.0,54.61,88.0,105.54,12.18,136.22,15.21,373.18,2.72
65.9,210.78,2.49,153.51,36.8,22.87,2.23,15.62,125.23,6.46,73.78,404.97,54.29,87.91,105.77,12.69,134.95,14.83,375.66,2.68
60.21,211.76,2.5,153.11,37.02,23.27,2.19,15.68,125.45,6.01,74.08,406.67,54.29,87.52,106.76,12.67,134.1,14.78,377.15,2.64
56.33,191.94,2.55,152.12,39.68,24.1,2.2,15.66,124.65,6.23,74.44,415.38,55.0,86.86,108.19,12.52,137.74,14.95,377.96,2.76
55.52,194.42,2.48,150.95,38.97,24.25,2.15,15.26,123.87,6.16,74.17,419.38,54.85,86.04,108.32,14.24,137.74,14.7,375.65,3.0
58.26,202.23,2.43,149.46,38.1,25.16,2.1,14.8,123.19,5.38,73.62,408.66,56.65,84.25,108.26,14.31,138.38,14.46,373.0,3.01
68.49,207.78,2.49,149.46,39.2,26.85,2.2,15.12,127.14,6.15,74.77,411.08,57.87,87.78,110.69,16.21,133.53,15.0,380.97,3.1
70.83,196.1,2.51,153.78,38.99,27.28,2.17,15.21,126.93,6.36,74.28,406.06,55.57,86.9,111.4,16.37,135.5,15.11,379.69,3.18
73.43,196.43,2.47,153.88,39.5,26.65,2.16,14.95,124.84,6.51,73.92,408.2,61.15,87.56,110.04,16.2,134.6,14.82,375.79,3.23
73.18,193.01,2.51,150.64,38.58,26.36,2.13,14.4,124.87,6.74,73.94,405.5,60.5,89.37,111.57,17.23,134.94,15.25,376.58,3.22
73.72,183.95,2.54,152.57,40.97,26.76,2.4,14.24,125.36,7.05,75.16,406.5,57.79,90.01,111.81,17.69,131.41,15.15,378.23,3.3
68.46,187.33,2.63,148.03,43.3,27.3,2.45,14.98,126.56,7.07,74.83,426.62,57.8,90.79,111.28,17.66,130.63,15.31,381.25,3.4
59.08,173.89,2.59,148.9,44.25,25.19,2.5,13.73,121.12,5.47,72.4,422.04,56.91,88.26,110.78,17.18,139.44,14.93,372.44,3.31
57.7,164.57,2.65,143.97,41.57,25.76,2.48,13.57,119.5,5.22,70.77,421.81,57.82,86.91,109.79,17.9,137.55,14.7,368.61,3.21
60.01,178.05,2.66,142.7,42.92,26.22,2.52,13.52,120.48,5.61,72.16,418.73,57.11,84.45,109.81,18.91,137.25,14.8,370.15,3.33
52.94,162.43,2.67,144.96,45.09,24.59,2.71,13.34,120.15,3.2,72.02,421.2,56.41,83.58,110.65,18.3,138.04,14.74,370.89,3.38
56.06,159.97,2.7,143.16,45.17,24.95,2.7,13.41,119.82,3.98,71.13,417.74,55.8,84.55,111.25,15.37,139.07,14.55,370.46,3.39
51.5,141.91,2.63,143.17,45.81,24.01,2.64,13.03,116.7,4.25,71.2,413.17,58.84,82.98,110.0,16.47,139.32,14.33,363.78,3.36
54.2,143.0,2.59,140.89,45.01,24.26,2.77,13.2,118.23,4.4,71.42,408.5,61.85,83.96,113.0,17.26,136.88,14.25,366.57,3.28
55.0,135.87,2.56,140.31,45.82,24.29,2.74,12.59,116.65,3.44,68.29,411.45,62.48,83.28,112.43,18.26,136.28,14.3,364.51,3.22
50.38,128.68,2.58,138.12,47.0,23.75,2.73,12.32,113.86,5.07,66.83,410.34,62.89,81.66,112.2,16.66,137.34,14.2,358.45,3.1
49.21,127.26,2.63,135.28,43.39,23.34,2.55,12.38,113.57,0.85,67.77,422.22,61.72,82.36,111.06,18.9,136.1,14.01,357.76,3.1
54.22,136.56,2.75,134.08,45.96,24.02,2.58,12.94,116.56,0.611,69.83,439.09,59.64,85.19,113.21,19.5,138.21,14.33,366.67,3.2
53.31,125.7,2.66,136.82,44.84,23.06,2.68,11.71,115.55,0.6,70.25,440.08,62.17,85.17,113.5,20.11,142.73,14.25,366.19,3.23
46.24,116.55,2.7,134.83,42.17,23.43,2.64,11.26,113.76,0.55,70.26,433.89,60.28,84.98,111.27,22.66,140.96,14.01,361.68,3.21
45.15,122.56,2.71,132.03,41.13,23.46,2.67,11.72,114.55,0.4,71.1,435.0,58.43,86.35,111.99,19.75,140.33,14.22,364.48,3.28
41.96,122.09,2.7,133.88,41.91,21.66,2.53,11.51,112.8,0.387,71.13,439.74,58.91,84.94,111.99,25.81,139.43,14.0,360.41,3.27
37.76,121.07,2.75,131.25,41.82,21.32,2.55,11.71,110.9,0.385,70.17,426.89,57.0,82.65,114.87,26.0,140.61,13.75,355.84,2.93
35.19,118.96,2.68,130.26,46.35,20.1,2.67,11.38,111.49,0.414,72.15,427.91,58.86,83.31,112.5,27.63,136.2,13.9,358.73,2.53
33.67,103.0,2.67,130.47,46.75,19.73,2.73,10.82,108.36,0.395,70.62,416.2,61.17,82.05,113.52,34.0,137.25,13.75,351.59,2.61
34.71,110.51,2.63,126.01,45.26,20.18,2.76,11.91,108.57,0.4,70.48,422.57,57.98,81.06,112.0,45.8,135.89,13.75,350.73,3.0
34.59,109.11,2.59,127.13,33.0,20.61,2.52,12.0,109.68,0.34,70.32,423.93,57.84,81.45,111.1,28.52,136.11,13.75,352.1,3.41
36.49,118.47,2.67,126.89,32.54,21.5,2.38,12.55,110.5,0.34,70.91,428.0,57.92,80.93,111.01,32.38,137.56,13.38,353.18,2.51
33.96,119.95,2.73,130.28,30.74,20.2,2.27,11.88,108.45,0.34,70.83,426.88,64.19,80.48,110.51,33.88,139.3,13.16,349.79,2.1
33.46,120.39,2.78,128.41,29.26,20.21,2.39,11.54,108.2,0.32,70.43,429.73,63.76,80.85,109.8,16.13,137.72,13.2,348.91,2.08
32.58,110.35,2.76,127.99,29.35,20.42,2.58,11.77,108.25,0.31,70.99,429.73,63.82,81.67,108.75,6.26,136.81,13.56,350.42,2.04
34.5,117.5,2.73,129.67,31.1,20.66,2.53,12.09,109.76,0.347,70.55,437.0,70.92,81.31,109.02,3.72,135.43,13.68,351.76,2.12
34.77,126.37,2.82,131.38,30.45,20.93,2.52,12.31,109.2,0.333,69.89,438.05,73.18,80.46,108.35,3.61,134.45,13.53,348.93,2.13
34.93,136.0,2.75,130.92,30.8,21.36,2.52,12.5,111.21,0.34,70.33,435.89,71.31,79.5,107.67,3.79,134.01,13.58,351.98,2.04
35.31,139.34,2.73,134.35,30.09,22.25,2.47,12.18,111.31,0.304,70.12,440.34,73.58,80.41,107.71,3.94,133.84,13.55,352.2,2.05
34.75,146.05,2.75,132.98,29.45,21.53,2.27,12.16,110.46,0.304,69.41,437.85,74.13,78.74,107.09,3.94,131.48,13.37,348.45,2.06
35.97,154.0,2.75,131.39,31.94,22.93,2.54,12.7,112.66,0.318,70.06,432.07,70.33,79.95,106.61,4.19,130.55,13.54,348.45,2.26
37.4,159.64,2.8,135.11,32.47,22.74,2.5,12.69,112.66,0.32,68.96,432.04,69.5,80.03,106.74,4.28,131.02,13.52,354.13,2.28
38.95,153.44,2.79,136.69,35.65,23.0,2.56,13.0,113.61,0.338,71.26,424.76,70.04,79.97,107.7,4.5,127.29,13.72,355.65,2.34
39.41,159.25,2.81,141.11,35.92,23.7,2.64,13.41,116.15,0.333,72.05,435.0,70.93,80.95,109.85,4.5,130.21,14.02,362.47,2.37
46.01,174.87,2.76,145.35,37.0,25.05,2.76,14.27,118.53,0.353,73.83,439.66,71.88,85.12,111.37,4.9,134.11,14.5,369.1,2.44
39.98,176.1,2.9,149.5,34.43,23.36,2.6,13.2,122.06,0.354,71.51,438.84,71.68,81.17,112.32,5.0,136.94,14.02,377.11,2.3
41.6,173.84,2.85,142.7,37.04,22.98,2.9,12.37,116.09,0.35,72.96,436.12,68.88,81.17,107.73,5.11,132.34,13.95,362.28,2.28
41.56,172.2,2.95,142.34,34.5,23.37,2.71,12.14,116.37,0.348,73.02,443.38,70.98,82.49,106.73,4.94,134.69,14.02,363.0,2.29
41.88,175.03,3.01,142.36,32.68,22.56,2.44,11.52,115.98,0.378,73.02,443.31,72.98,81.69,104.66,4.91,135.73,13.99,363.13,2.28
45.6,181.22,3.03,142.19,33.98,24.61,2.51,11.38,115.31,0.417,73.36,436.23,71.68,82.63,104.02,4.97,132.0,14.38,361.05,2.31
47.98,189.44,3.02,147.07,37.54,24.75,2.85,11.78,118.26,0.42,75.01,439.13,71.77,84.18,104.99,5.01,132.19,14.63,367.09,2.34
